word_id,word,human_translation,machine_translation,pinyin,description,client,lists,category,category_id,theme
1,陆肆,"Another way of writing 六四, or Liu Si, in reference to the Tiananmen Square protests that occurred on June 4th, 1989.",Lu Si,lusi,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only,Tiananmen Square (June 4 1989),34,Events
2,六四,"In reference to the Tiananmen Square protests that occurred on June 4th, 1989.  This is literally the numbers ""64"".",Liu Si,liusi,,Both,Sina UC List 1;Sina UC List 2;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only,Tiananmen Square (June 4 1989),34,Events
3,学潮,,Campus upheaval,xue chao,"Reference to student movements in the 1989 democracy movement and eventually the events of June, 1989.",Both,Sina UC List 4;Sina UC List 5;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Tiananmen Square (June 4 1989),34,Events
4,操你妈,,Fuck your mother,cao ni ma,"This may also be a reference to a Chinese Internet meme used to symbolize the defiance of censorship in China. The name of these meme is [草泥马] (literally Grass mud horse) and pronounced ""cao ni ma."" It was made famous by dissident artist Ai Weiwei. For more information, please see: http://en.wikipedia.org/wiki/Grass_Mud_Horse.",Both,Sina UC List 2;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only,Prurient Interests,1,Social
5,法轮,Falun,,fa lun,A reference to the Falun Gong movement,Both,Sina UC List 1;Sina UC List 2;Sina UC List 4;Sina UC List 5;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
6,flg,Falun Gong,,flg,"Initials for Falun Gong

For more information on Falun Gong and Falun Dafa, please see: http://www.falundafa.org/; http://en.wikipedia.org/wiki/Falun_Gong.",Both,Sina UC List 2;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
7,falungong,Falun Gong,,falungong,,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
8,falundafa,Falun Dafa,,falundafa,Another name for Falun Gong,TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
9,九评,Nine Commentaries,,jiu ping,"A reference to ""Nine Commentaries on the Communist Party"", a critique of China's government published in 2004 by the Epoch Times, a Falun-Gong-supported news organization",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
10,fuck,,,fuck,,Both,Sina UC List 2;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Prurient Interests,1,Social
11,真善忍,"Truthfulness, Compassion, Tolerance",,zhen shan ren,"These three characters are zhen, shan and ren, which correspond to Falun Gong principles",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
12,退党网,Quit the party,,tui dang wang,"This is a reference to a Falun gong website promoting Chinese citizens to quit the Communist Party of China. For more information, please see: http://tuidang.epochtimes.com/ (Chinese).",TOM-Skype,TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
13,大纪元,Epoch Times,Epoch Times,da jiyuan,A news organization affiliated with Falun Gong that is often critical of China's government.,Both,Sina UC List 1;Sina UC List 2;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Religion,47,Political
14,吾尔开希,Wu'erkaixi (Person's name),,wu er kai xi,"Wu'erkaixi is an ethnic Uyghur student who participated in the Tiananmen protests in 1989. He was expelled from China and is currently residing in Taiwan as a political commentator. For more information, please see: http://en.wikipedia.org/wiki/Wu%27erkaixi.",Both,Sina UC List 1;Sina UC List 2;Sina UC List 4;Sina UC List 5;TOM-Skype 3.6-3.8;TOM-Skype 4.0-4.2;TOM-Skype 5.0-5.1;TOM-Skype 5.1 Surveillance-only;TOM-Skype 5.5-6.1 Surveillance-only;TOM-Skype Unknown,Dissident / Activist,93,People
