,"Micronesia, Federated States of (FM)",Marshall Islands (MH),Palau (PW),American Samoa (AS),United States Minor Outlying Islands (UM),Palestinian Territories (PS),Somalia (SO),South Georgia and the South Sandwich Islands (GS),Bouvet Island (BV),Heard Island and the McDonald Islands (HM),Kosovo (XK),Isle of Man (IM),Guernsey (GG),Jersey (JE),Congo (CG),"Bonaire, Saint Eustatius and Saba (BQ)",Saint Barthelemy (BL),Saint Martin (MF),Sint Maarten (SX),Curaçao (CW),French Southern Territories (TF),Saint Pierre and Miquelon (PM),Aland Islands (AX),Timor-leste (TL),Equatorial Guinea (GQ),"Saint Helena, Ascension and Tristan da Cunha (SH)",Christmas Island (CX),Ukraine (UA),Singapore (SG),Australia (AU),Brazil (BR),Trinidad and Tobago (TT),Panama (PA),Venezuela (VE),Uruguay (UY),Costa Rica (CR),Chile (CL),Malaysia (MY),Thailand (TH),Germany (DE),Bhutan (BT),Nepal (NP),Aruba (AW),Wallis and Futuna (WF),French Polynesia (PF),New Caledonia (NC),French Guiana (GF),Martinique (MQ),Guadeloupe (GP),Reunion (RE),Mayotte (YT),Macao (MO),Iceland (IS),Serbia (RS),San Marino (SM),Holy See (VA),Gibraltar (GI),Liechtenstein (LI),Monaco (MC),Norway (NO),Sri Lanka (LK),United Kingdom (GB),Cyprus (CY),Belgium (BE),Austria (AT),Bulgaria (BG),Croatia (HR),Finland (FI),Denmark (DK),Italy (IT),Luxembourg (LU),Malta (MT),Lithuania (LT),Latvia (LV),Romania (RO),Slovakia (SK),Slovenia (SI),Estonia (EE),Poland (PL),Portugal (PT),Netherlands (NL),France (FR),Ireland (IE),Czech Republic (CZ),Hungary (HU),Sweden (SE),Japan (JP),Spain (ES),Greece (GR),Lao People's Democratic Republic (LA),Mongolia (MN),Montenegro (ME),Georgia (GE),"Macedonia, The Former Yugoslav Republic of (MK)",Greenland (GL),Vietnam (VN),Cambodia (KH),Barbados (BB),Bermuda (BM),Bolivia (BO),Albania (AL),Andorra (AD),Bosnia and Herzegovina (BA),Fiji (FJ),Peru (PE),"Tanzania, United Republic of (TZ)",Zimbabwe (ZW),Mauritius (MU),Namibia (NA),Ghana (GH),Morocco (MA),Colombia (CO),Israel (IL),Argentina (AR),Uzbekistan (UZ),Solomon Islands (SB),Tonga (TO),Tuvalu (TV),Samoa (WS),Nauru (NR),Vanuatu (VU),Kiribati (KI),Niue (NU),Cook Islands (CK),"Moldova, Republic of (MD)",Saint Vincent and the Grenadines (VC),Guatemala (GT),Honduras (HN),Montserrat (MS),Saint Kitts and Nevis (KN),Netherlands Antilles (AN),Cayman Islands (KY),Anguilla (AI),Antigua and Barbuda (AG),Falkland Islands (Malvinas) (FK),Paraguay (PY),Suriname (SR),Guyana (GY),Azerbaijan (AZ),Armenia (AM),Pakistan (PK),Bangladesh (BD),Faroe Islands (FO),Kyrgyzstan (KG),Turkmenistan (TM),Tajikistan (TJ),Tunisia (TN),Mali (ML),Lesotho (LS),Sao Tome and Principe (ST),Niger (NE),Swaziland (SZ),Sierra Leone (SL),Togo (TG),Senegal (SN),Cameroon (CM),Chad (TD),"Congo, The Democratic Republic of the (CD)",Central African Republic (CF),Gabon (GA),Liberia (LR),Mauritania (MR),Guinea (GN),"Gambia, The (GM)",Guinea-Bissau (GW),Benin (BJ),Burkina Faso (BF),Cape Verde (CV),Algeria (DZ),Angola (AO),Cote D'ivoire (CI),Libya (LY),Botswana (BW),Malawi (MW),Uganda (UG),Mozambique (MZ),Madagascar (MG),Eritrea (ER),Comoros (KM),Burundi (BI),Ethiopia (ET),Rwanda (RW),"Bahamas, The (BS)",Dominica (DM),El Salvador (SV),Belize (BZ),Haiti (HT),Dominican Republic (DO),Grenada (GD),"Virgin Islands, British (VG)",Turks and Caicos Islands (TC),Saint Lucia (LC),Nicaragua (NI),Afghanistan (AF),Yemen (YE),Western Sahara (EH),British Indian Ocean Territory (IO),Svalbard and Jan Mayen (SJ),Tokelau (TK),Pitcairn (PN),Cocos (Keeling) Islands (CC),Norfolk Island (NF),Djibouti (DJ),Turkey (TR),Mexico (MX),Switzerland (CH),Myanmar (MM),Iraq (IQ),Kenya (KE),Ecuador (EC),Nigeria (NG),South Africa (ZA),Jamaica (JM),Kazakhstan (KZ),New Zealand (NZ),Republic of Korea (KR),Hong Kong (HK),Indonesia (ID),Philippines (PH),Taiwan (TW),Canada (CA),India (IN),China (CN),Egypt (EG),Jordan (JO),Bahrain (BH),Kuwait (KW),Oman (OM),Qatar (QA),Papua New Guinea (PG),Maldives (MV),Lebanon (LB),Zambia (ZM),Seychelles (SC),Brunei Darussalam (BN),Saudi Arabia (SA),United Arab Emirates (AE),Belarus (BY),Russian Federation (RU)
"B016QE4BPI [CDs & Vinyl › ... › Pop Rap]: KWELI,TALIB - Fuck the Money - Amazon.com Music",0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.75,0.75,0.75,0.0,0.0,0.75,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.0,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.0,0.5,0.75,0.5,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.0,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.0,0.75,0.75,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"0785148736 [Books › ... › Graphic Novels]: Amazon.com: New Avengers, Vol. 1: 9780785148739: Bendis, Brian Michael, Immonen, Stuart: Books",0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.0,0.0,1.0,1.0,1.0
B003BPWOSM : Comma LS80W901L LS80W-90 1L Limited Slip Gear Oil,1.0,1.0,1.0,0.0,0.0,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.75,0.75
"B00O2VQJOO [Health & Household › ... › B7 (Biotin)]: Amazon.com: Nature Made Hair Skin and Nails with Biotin 2500 mcg, Dietary Supplement for Healthy Hair, Skin & Nails Support, 90 Gummies, 45 Day Supply : Health & Household",0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.0,1.0,0.75
B0000A1ODP : Amazon.com: Wilton White Icing Tube,0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75
"B07R4YN8CY : Amazon.com : Bragg Organic Apple Cider Vinegar With the Mother– USDA Certified Organic – Raw, Unfiltered All Natural Ingredients, 16 ounce, 2 Pack : Grocery & Gourmet Food",0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.75
B01J1B7IV2 [Grocery & Gourmet Food › ... › Jams & Preserves]: Amazon.com: 24oz Tropics Ube Halaya Purple Yam Jam (Pack of 1) : Grocery & Gourmet Food,0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75
B001VBK48K : Amazon.com : walimex FT-8051 260cm Light Stand : Electronics,1.0,1.0,1.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"B01L0EQOZO [Electronics › ... › Refractors]: Amazon.com : Celestron Inspire 80AZ Refractor Smartphone Adapter Built-In Refracting Telescope, Blue (22402) : Electronics",1.0,1.0,1.0,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
B0142XIF5M [CDs & Vinyl › ... › Movie Soundtracks]: The Wizard of Oz (Original Motion Picture Soundtrack) - The Wizard of Oz (Original Motion Picture Soundtrack) - Amazon.com Music,0.75,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
