,China (CN),Egypt (EG),Jordan (JO),Bahrain (BH),Kuwait (KW),Oman (OM),Qatar (QA),Papua New Guinea (PG),Maldives (MV),Lebanon (LB),Zambia (ZM),Seychelles (SC),Brunei Darussalam (BN),Saudi Arabia (SA),United Arab Emirates (AE),Belarus (BY),Russian Federation (RU)
China (CN),1.0,0.5981781376518218,0.5941295546558705,0.638663967611336,0.638663967611336,0.6376518218623481,0.638663967611336,0.6295546558704453,0.6336032388663968,0.6295546558704453,0.6133603238866396,0.6082995951417004,0.5880566801619433,0.5789473684210527,0.4291497975708502,0.2591093117408907,0.26720647773279355
Egypt (EG),0.5981781376518218,1.0,0.9595141700404858,0.8977732793522267,0.8967611336032388,0.8977732793522267,0.8876518218623481,0.8623481781376519,0.8714574898785425,0.8846153846153846,0.8836032388663968,0.8795546558704453,0.7935222672064778,0.8066801619433198,0.45951417004048584,0.31376518218623484,0.305668016194332
Jordan (JO),0.5941295546558705,0.9595141700404858,1.0,0.9018218623481782,0.9230769230769231,0.9261133603238867,0.9159919028340081,0.8765182186234818,0.881578947368421,0.9068825910931174,0.8593117408906883,0.8552631578947368,0.7955465587044535,0.8299595141700404,0.4767206477732793,0.3147773279352227,0.2874493927125506
Bahrain (BH),0.638663967611336,0.8977732793522267,0.9018218623481782,1.0,0.958502024291498,0.958502024291498,0.9534412955465587,0.895748987854251,0.9240890688259109,0.9251012145748988,0.9018218623481782,0.8987854251012146,0.8572874493927125,0.868421052631579,0.520242914979757,0.3674089068825911,0.3481781376518219
Kuwait (KW),0.638663967611336,0.8967611336032388,0.9230769230769231,0.958502024291498,1.0,0.9817813765182186,0.9807692307692307,0.9129554655870445,0.9159919028340081,0.9433198380566802,0.8927125506072875,0.8896761133603239,0.8410931174089069,0.888663967611336,0.5344129554655871,0.35121457489878544,0.3350202429149798
Oman (OM),0.6376518218623481,0.8977732793522267,0.9261133603238867,0.958502024291498,0.9817813765182186,1.0,0.9848178137651822,0.9200404858299596,0.9210526315789473,0.9463562753036437,0.9018218623481782,0.8987854251012146,0.847165991902834,0.8876518218623481,0.5384615384615384,0.3582995951417004,0.3350202429149798
Qatar (QA),0.638663967611336,0.8876518218623481,0.9159919028340081,0.9534412955465587,0.9807692307692307,0.9848178137651822,1.0,0.909919028340081,0.9129554655870445,0.9342105263157895,0.8876518218623481,0.8846153846153846,0.8421052631578947,0.8876518218623481,0.5404858299595142,0.35931174089068824,0.3309716599190283
Papua New Guinea (PG),0.6295546558704453,0.8623481781376519,0.8765182186234818,0.895748987854251,0.9129554655870445,0.9200404858299596,0.909919028340081,1.0,0.944331983805668,0.9433198380566802,0.9291497975708503,0.9261133603238867,0.868421052631579,0.8370445344129555,0.49696356275303644,0.37044534412955465,0.35121457489878544
Maldives (MV),0.6336032388663968,0.8714574898785425,0.881578947368421,0.9240890688259109,0.9159919028340081,0.9210526315789473,0.9129554655870445,0.944331983805668,1.0,0.944331983805668,0.9321862348178138,0.9291497975708503,0.8755060728744939,0.8380566801619433,0.4979757085020243,0.3785425101214575,0.3643724696356275
Lebanon (LB),0.6295546558704453,0.8846153846153846,0.9068825910931174,0.9251012145748988,0.9433198380566802,0.9463562753036437,0.9342105263157895,0.9433198380566802,0.944331983805668,1.0,0.9352226720647774,0.9321862348178138,0.8653846153846154,0.8552631578947368,0.507085020242915,0.3775303643724696,0.35728744939271256
Zambia (ZM),0.6133603238866396,0.8836032388663968,0.8593117408906883,0.9018218623481782,0.8927125506072875,0.9018218623481782,0.8876518218623481,0.9291497975708503,0.9321862348178138,0.9352226720647774,1.0,0.9908906882591093,0.8441295546558705,0.8228744939271255,0.4767206477732793,0.37044534412955465,0.37044534412955465
Seychelles (SC),0.6082995951417004,0.8795546558704453,0.8552631578947368,0.8987854251012146,0.8896761133603239,0.8987854251012146,0.8846153846153846,0.9261133603238867,0.9291497975708503,0.9321862348178138,0.9908906882591093,1.0,0.8431174089068826,0.819838056680162,0.4757085020242915,0.37550607287449395,0.37449392712550605
Brunei Darussalam (BN),0.5880566801619433,0.7935222672064778,0.7955465587044535,0.8572874493927125,0.8410931174089069,0.847165991902834,0.8421052631578947,0.868421052631579,0.8755060728744939,0.8653846153846154,0.8441295546558705,0.8431174089068826,1.0,0.9058704453441295,0.5121457489878543,0.46558704453441296,0.4271255060728745
Saudi Arabia (SA),0.5789473684210527,0.8066801619433198,0.8299595141700404,0.868421052631579,0.888663967611336,0.8876518218623481,0.8876518218623481,0.8370445344129555,0.8380566801619433,0.8552631578947368,0.8228744939271255,0.819838056680162,0.9058704453441295,1.0,0.5293522267206477,0.4190283400809717,0.4089068825910931
United Arab Emirates (AE),0.4291497975708502,0.45951417004048584,0.4767206477732793,0.520242914979757,0.5344129554655871,0.5384615384615384,0.5404858299595142,0.49696356275303644,0.4979757085020243,0.507085020242915,0.4767206477732793,0.4757085020242915,0.5121457489878543,0.5293522267206477,1.0,0.638663967611336,0.5323886639676113
Belarus (BY),0.2591093117408907,0.31376518218623484,0.3147773279352227,0.3674089068825911,0.35121457489878544,0.3582995951417004,0.35931174089068824,0.37044534412955465,0.3785425101214575,0.3775303643724696,0.37044534412955465,0.37550607287449395,0.46558704453441296,0.4190283400809717,0.638663967611336,1.0,0.8046558704453441
Russian Federation (RU),0.26720647773279355,0.305668016194332,0.2874493927125506,0.3481781376518219,0.3350202429149798,0.3350202429149798,0.3309716599190283,0.35121457489878544,0.3643724696356275,0.35728744939271256,0.37044534412955465,0.37449392712550605,0.4271255060728745,0.4089068825910931,0.5323886639676113,0.8046558704453441,1.0
