dp,url,cat,title,QA_txt,QA_status
B00XUGYMUA,https://www.amazon.com/dp/B00XUGYMUA/?aod=1,,Amazon.com : Barilla Pasta Ranked # 5 Gluten Free Spaghetti 400g by BARILLA G. e R. FRATELLI SpA : Grocery & Gourmet Food,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B004NHRB12,https://www.amazon.com/dp/B004NHRB12/?aod=1,,Amazon.com: Mama - Instant Noodles Chicken - 30 bags,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B00B499LOW,https://www.amazon.com/dp/B00B499LOW/?aod=1,,"Winsome Tavin Storage/Organization, Black 22.68"" W x 21.12"" H x 16.18"" D",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B01DRWWLUO,https://www.amazon.com/dp/B01DRWWLUO/?aod=1,,"Transcend 480 GB TLC SATA III 6Gb/s 2.5"" Solid State Drive (TS480GSSD220S)",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (2)
B000MGWGMW,https://www.amazon.com/dp/B000MGWGMW/?aod=1,,"Amazon.com: NOW Supplements, Propolis 1,500 mg with 5:1 Concentrate, Natural Bee Product, 100 Veg Capsules : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (5)
B001JYLPPU,https://www.amazon.com/dp/B001JYLPPU/?aod=1,,"Pelikan 0Bec00 - Ink Pads (Metallic, Metal)",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
B00ICE5KN8,https://www.amazon.com/dp/B00ICE5KN8/?aod=1,,Amazon.com : 2 x Super III Natural Bee Propolis 200 softgels/ bottle Fresh Good Product : Health & Household,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
B01IEKG402,https://www.amazon.com/dp/B01IEKG402/?aod=1,,Seagate BarraCuda 2TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 7200 RPM 64MB Cache for Computer Desktop PC Laptop (ST2000DM006),Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (4)
B01MTAHK9X,https://www.amazon.com/dp/B01MTAHK9X/?aod=1,,Amazon.com: Size Matters Breast Cupping System : Health & Household,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (2)
B01NBEY9HY,https://www.amazon.com/dp/B01NBEY9HY/?aod=1,,"Amazon.com: Nuun Vitamins: Vitamins + Electrolyte Drink Tablets, Mixed Fruit Pack, 4 Tubes (48 Servings), 12 Count (Pack of 4) : Health & Household",Temporarily out of stock. We are working hard to be back in stock as soon as possible. Deliver to Qatar Add to List,Not added (1)
B07J2T1879,https://www.amazon.com/dp/B07J2T1879/?aod=1,,"KMC X10SL 11 Speed Chain, Ti-Ni Gold, 114 Link",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (1)
B08QN9QJHQ,https://www.amazon.com/dp/B08QN9QJHQ/?aod=1,,"Amazon.com: Cobra Golf 2021 Radspeed One Length Hybrid Matte Black-Red-Blue (Men's Right Hand, UST Recoil 480 ESX, Reg Flex, 21) : Everything Else",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B014GJSL88,https://www.amazon.com/dp/B014GJSL88/?aod=1,,Frank Sinatra - A Voice On Air (1935-1955) - Amazon.com Music,Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (8)
B0788WXTHQ,https://www.amazon.com/dp/B0788WXTHQ/?aod=1,,"Amazon.com: The Age of Innocence [Blu-ray] : Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Martin Scorsese: Movies & TV",Temporarily out of stock. We are working hard to be back in stock as soon as possible. See Similar Items Deliver to Qatar Add to List,Not added (4)
0996786503,https://www.amazon.com/dp/0996786503/?aod=1,,"Ageless and Sexy: The Magic of Sensuality--A Love Story: Pearl, Sheila: 9780996786508: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B07PY53HRD,https://www.amazon.com/dp/B07PY53HRD/?aod=1,,Amazon.com: BulkSupplements.com Alpha GPC Powder (L-Alpha Glycerylphosphorylcholine) - Choline Supplements - Brain Supplements - Memory Supplement for Brain - Acetylcholine Supplements (1 Kilogram - 2.2 lbs) : Health & Household,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B07PZ8T2QZ,https://www.amazon.com/dp/B07PZ8T2QZ/?aod=1,,Amazon.com: BulkSupplements.com Alpha GPC Powder (L-Alpha Glycerylphosphorylcholine) - Choline Supplements - Brain Supplements - Memory Supplement for Brain - Acetycholine Supplements (250 Grams - 8.8 oz) : Health & Household,Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (1)
B079PWNBZW,https://www.amazon.com/dp/B079PWNBZW/?aod=1,,"Amazon.com: Align DualBiotic, Prebiotic + Probiotic for Women and Men, Help Nourish and Add Good Bacteria for Digestive Support, Natural Fruit Flavors, 60 Gummies : Health & Household",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B0722NB764,https://www.amazon.com/dp/B0722NB764/?aod=1,,"Amazon.com: Arm & Hammer Baking Soda, 1 Pound (Pack of 12) : Grocery & Gourmet Food",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (1)
0738730440,https://www.amazon.com/dp/0738730440/?aod=1,,"Around the Tarot in 78 Days: A Personal Journey Through the Cards: Katz, Marcus, Goodwin, Tali: 9780738730448: Amazon.com: Books",Temporarily out of stock. We are working hard to be back in stock as soon as possible. See Similar Items Deliver to Qatar Add to List,Not added (1)
B0815QJG84,https://www.amazon.com/dp/B0815QJG84/?aod=1,,"Amazon.com: Aroy-D 100% Coconut Milk Mini-size 5.1 Fluid Ounce (150ml), Pack of 12 : Grocery & Gourmet Food",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B00JUB8N3G,https://www.amazon.com/dp/B00JUB8N3G/?aod=1,,Amazon.com: Aroy-d Coconut Milk 100% Original Net 8.5 Oz.(pack of 12) : Grocery & Gourmet Food,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B07F8FJWWV,https://www.amazon.com/dp/B07F8FJWWV/?aod=1,,"Amazon.com: Augason Farms 5-10133 Maple Brown Sugar Oatmeal Super Can Food Storage, 10 Can with 4 Individual Pouches : Everything Else",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B00K5Y6OJM,https://www.amazon.com/dp/B00K5Y6OJM/?aod=1,,Amazon.com: Augason Farms Breakfast Emergency Food Supply 4 Gallon Pail,Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
B0096I5DJU,https://www.amazon.com/dp/B0096I5DJU/?aod=1,,Amazon.com: Augason Farms Dried Whole Egg Product 2 lbs 1 oz ( pack of 1) : Grocery & Gourmet Food,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
1948427664,https://www.amazon.com/dp/1948427664/?aod=1,,"Avoiding Commitment: Linde, K.A.: 9781948427661: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (5)
1948427680,https://www.amazon.com/dp/1948427680/?aod=1,,"Avoiding Commitment: Linde, K.A.: 9781948427685: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. See Similar Items Deliver to Qatar Add to List,Not added (6)
B01J6G2CJA,https://www.amazon.com/dp/B01J6G2CJA/?aod=1,,Amazon.com : 2 Bags x 110g of Malaco Tv Mix - Salmiakkinen (Salmiak Mix) - Salty Licorice Wine Gums Candy - Sweden : Grocery & Gourmet Food,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
1627783024,https://www.amazon.com/dp/1627783024/?aod=1,,"Amazon.com: Best Bondage Erotica of the Year: Volume 2 (2) (Best Bondage Erotica Series): 9781627783026: Bussel, Rachel Kramer: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (3)
B07CKFG53T,https://www.amazon.com/dp/B07CKFG53T/?aod=1,,Amazon.com: BEYOND RAW Chemistry Labs Creatine HCl Powder | Improves Muscle Performance | 60 Servings : Health & Household,Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
B000GG0BQ6,https://www.amazon.com/dp/B000GG0BQ6/?aod=1,,"Amazon.com : Bigelow Decaffeinated Green Tea Bags, 40 Count Box (Pack of 6) Decaf Green Tea, 240 Tea Bags Total : Decafinated Green Tea : Grocery & Gourmet Food",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
1501141651,https://www.amazon.com/dp/1501141651/?aod=1,,"The Birth of Loud: Leo Fender, Les Paul, and the Guitar-Pioneering Rivalry That Shaped Rock 'n' Roll: Port, Ian S.: 9781501141652: Amazon.com: Books",This item cannot be shipped to your selected delivery location. Please choose a different delivery location. Deliver to Qatar,Not added (1)
B079PHF8NR,https://www.amazon.com/dp/B079PHF8NR/?aod=1,,"Amazon.com: Black Venus (Special Edition) [Blu-ray] : Yahima Torres, Andre Jacobs, Olivier Gourmet, Elina Lowensohn, Abdellatif Kechiche: Movies & TV",Temporarily out of stock. We are working hard to be back in stock as soon as possible. Deliver to Qatar Add to List,Not added (3)
B09QK483XH,https://www.amazon.com/dp/B09QK483XH/?aod=1,,"The Body Tourist: A Memoir of Hunger and the Search for Home: Shavin, Dana Lise: 9798403889353: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (2)
0972335749,https://www.amazon.com/dp/0972335749/?aod=1,,"BOXING THE BLUES AWAY: Brenneman, Amy, Hoag, Deborrah, Jones Jr., Roy: 9780972335744: Amazon.com: Books",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,Not added (1)
0062666975,https://www.amazon.com/dp/0062666975/?aod=1,,"Amazon.com: Boys & Sex: Young Men on Hookups, Love, Porn, Consent, and Navigating the New Masculinity: 9780062666970: Orenstein, Peggy: Books",This item cannot be shipped to your selected delivery location. Please choose a different delivery location. Deliver to Qatar See similar items shipping to Qatar. See Similar Items,Not added (4)
B01CSX4N9K,https://www.amazon.com/dp/B01CSX4N9K/?aod=1,,"Amazon.com : Bragg Organic Apple Cider Vinegar With the Mother– USDA Certified Organic – Raw, Unfiltered All Natural Ingredients, 16 ounce, 2 Pack : Grocery & Gourmet Food",Currently unavailable. We don't know when or if this item will be back in stock. Deliver to Qatar Add to List,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
