dp,url,cat,title,BN_status
B071VT9J98,https://www.amazon.com/dp/B071VT9J98/?aod=1,,"Amazon.com: Nature Made 1200 mg Softgels, Fish Oil Supplements, Omega 3 Fish Oil for Healthy Heart Support, with 230 Softgels, 115 Day Supply : Health & Household",No button (0)
B00P2IGZDQ,https://www.amazon.com/dp/B00P2IGZDQ/?aod=1,,"Amazon.com: Zsport Zbra Silver : Clothing, Shoes & Jewelry",Not added (1)
1925682331,https://www.amazon.com/dp/1925682331/?aod=1,Books › Religion & Spirituality › New Age & Spirituality,"Magickal Herb Oracle: Secret Nature Magick (36 Full-Color Cards and 120-Page Guidebook) (Rockpool Oracle Card Series): Darcey, Cheralyn, Dandy, Deer: 9781925682335: Amazon.com: Books",Not added (12)
1518659535,https://www.amazon.com/dp/1518659535/?aod=1,"Books › Health, Fitness & Dieting › Psychology & Counseling","Decoding Your Kink: Guide to Explore, Share and Enjoy Your Wildest Sexual Desires: Fous MTP, Galen: 9781518659539: Amazon.com: Books",Not added (1)
280941727X,https://www.amazon.com/dp/280941727X/?aod=1,Books › Foreign Language Books › French,"Amazon.com: ""american vampire t.1 ; sang neuf"": 9782809417272: Books",Added (1)
187918172X,https://www.amazon.com/dp/187918172X/?aod=1,Books › Religion & Spirituality › Occult & Paranormal,"From the Ashes of Angels: The Forbidden... by Collins, Andrew",
B013SDMZVM,https://www.amazon.com/dp/B013SDMZVM/?aod=1,,"Amazon.com: Beurer MP62 Professional Nail Drill Kit, Portable Electric File Machine with 10 Attachments & 10 Sanding Bands, Efile Dremel for Acrylic Gel Manicure and Pedicure, LED Light, with Storage Case : Everything Else",No button (0)
1578637228,https://www.amazon.com/dp/1578637228/?aod=1,,"Entering Hekate's Garden: The Magick, Medicine & Mystery of Plant Spirit Witchcraft: Brannen, Cyndi: 9781578637225: Amazon.com: Books",Not added (29)
2205080695,https://www.amazon.com/dp/2205080695/?aod=1,Books › Comics & Graphic Novels › Graphic Novels,"Le Lion de Judah - Tome 2: Desberg Stephen, Labiano Hugues: 9782205080698: Amazon.com: Books",
B00005B95T,https://www.amazon.com/dp/B00005B95T/?aod=1,Movies & TV › Featured Categories › DVD › Comedy,"Amazon.com: Fucking Åmål : Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson, Mathias Rust, Stefan Hörberg, Josefine Nyberg, Ralph Carlsson, Maria Hedborg, Axel Widegren, Jill Ung, Lisa Skagerstam, Lina Svantesson, Ulf Brantås, Lukas Moodysson, Bernhard Winkler, Michal Leszczylowski, Anna Anthony, Lars Jönsson, Peter Aalbæk Jensen, Lukas Moodysson: Movies & TV",Not added (3)
B07NP9WZQF,https://www.amazon.com/dp/B07NP9WZQF/?aod=1,,Amazon.com : Dohe – Box of Pens with Hood – 1 mm – 50 Units – Blue : Office Products,This item cannot be shipped to your selected delivery location. Please choose a different delivery location. (1)
272345438X,https://www.amazon.com/dp/272345438X/?aod=1,Books › Comics & Graphic Novels › Manga,"Amazon.com: Berserk, Vol. 15: 9782723454384: Kentaro Miura, Kentaro Miura: Books",
1540522466,https://www.amazon.com/dp/1540522466/?aod=1,Books › Religion & Spirituality › Occult & Paranormal,"Amazon.com: Ghosts, Demons and Psychic Healing Casebook: True stories of paranormal encounters and investigations: 9781540522467: Fragaria, Decanus: Books",
