أنيك,أ**ك
أنيكك,أ***ك
أير,أ*ر
أيرك,أ**ك
أيري,أ**ي
إير,إ*ر
إيرك,إ**ك
إيري,إ**ي
الاستنماء,ا*******ء
الخرة,ا***ة
الخروات,ا*****ت
الزب,ا**ب
الزباب,ا****ب
الزوب,ا***ب
الشرموطات,ا*******ت
الشرموطة,ا******ة
العاهرة,ا*****ة
العرص,ا***ص
الكس,ا**س
الكساس,ا****س
الكسكوس,ا*****س
اللعين,ا****ن
انيك,ا**ك
انيكك,ا***ك
اير,ا*ر
ايرك,ا**ك
ايري,ا**ي
بالخرة,ب****ة
بالخروات,ب******ت
بالزب,ب***ب
بالزباب,ب*****ب
بالزوب,ب****ب
بالشرموطات,ب********ت
بالشرموطة,ب*******ة
بالكس,ب***س
بالكساس,ب*****س
بالكسكوس,ب******س
بخرة,ب**ة
بخرتي,ب***ي
بخروات,ب****ت
بخرواتك,ب*****ك
بخرواتكم,ب******م
بخرواتكن,ب******ن
بخرواتنا,ب******ا
بخرواته,ب*****ه
بخرواتها,ب******ا
بخرواتهم,ب******م
بخرواتهن,ب******ن
بخرواتي,ب*****ي
بز,**
بزاز,ب**ز
بزب,ب*ب
بزباب,ب***ب
بزبابك,ب****ك
بزبابكم,ب*****م
بزبابكن,ب*****ن
بزبابنا,ب*****ا
بزبابه,ب****ه
بزبابها,ب*****ا
بزبابهم,ب*****م
بزبابهن,ب*****ن
بزبابي,ب****ي
بزبك,ب**ك
بزبكم,ب***م
بزبكن,ب***ن
بزبنا,ب***ا
بزبه,ب**ه
بزبها,ب***ا
بزبهم,ب***م
بزبهن,ب***ن
بزبي,ب**ي
بزوب,ب**ب
بزوبك,ب***ك
بزوبكم,ب****م
بزوبكن,ب****ن
بزوبنا,ب****ا
بزوبه,ب***ه
بزوبها,ب****ا
بزوبهم,ب****م
بزوبهن,ب****ن
بزوبي,ب***ي
بشرموطات,ب******ت
بشرموطاتك,ب*******ك
بشرموطاتكم,ب********م
بشرموطاتكن,ب********ن
بشرموطاتنا,ب********ا
بشرموطاته,ب*******ه
بشرموطاتها,ب********ا
بشرموطاتهم,ب********م
بشرموطاتهن,ب********ن
بشرموطاتي,ب*******ي
بشرموطة,ب*****ة
بشرموطتك,ب******ك
بشرموطتكم,ب*******م
بشرموطتكن,ب*******ن
بشرموطتنا,ب*******ا
بشرموطته,ب******ه
بشرموطتها,ب*******ا
بشرموطتهم,ب*******م
بشرموطتهن,ب*******ن
بشرموطتي,ب******ي
بكس,ب*س
بكساس,ب***س
بكساسك,ب****ك
بكساسكم,ب*****م
بكساسكن,ب*****ن
بكساسنا,ب*****ا
بكساسه,ب****ه
بكساسها,ب*****ا
بكساسهم,ب*****م
بكساسهن,ب*****ن
بكساسي,ب****ي
بكسك,ب**ك
بكسكم,ب***م
بكسكن,ب***ن
بكسكوس,ب****س
بكسكوسك,ب*****ك
بكسكوسكم,ب******م
بكسكوسكن,ب******ن
بكسكوسنا,ب******ا
بكسكوسه,ب*****ه
بكسكوسها,ب******ا
بكسكوسهم,ب******م
بكسكوسهن,ب******ن
بكسكوسي,ب*****ي
بكسنا,ب***ا
بكسه,ب**ه
بكسها,ب***ا
بكسهم,ب***م
بكسهن,ب***ن
بكسي,ب**ي
بورنو,ب***و
تنتاك,ت***ك
تنييك,ت***ك
خرة,خ*ة
خرتكم,خ***م
خرتكن,خ***ن
خرتنا,خ***ا
خرتها,خ***ا
خرتهم,خ***م
خرتهن,خ***ن
خروات,خ***ت
خرواتك,خ****ك
خرواتكم,خ*****م
خرواتكن,خ*****ن
خرواتنا,خ*****ا
خرواته,خ****ه
خرواتها,خ*****ا
خرواتهم,خ*****م
خرواتهن,خ*****ن
