bleda,b***a
borinot,b*****t
borinota,b******a
botifler,b******r
botiflera,b*******a
cabró,c***ó
cabronàs,c******s
cabrona,c*****a
cabrones,c******s
cabrons,c*****s
cagondéu,c******u
catalufes,c*******s
catalufo,c******o
colló,c***ó
collonades,c********s
collons,c*****s
cony,c**y
conyàs,c****s
descollonar,d*********r
descollono,d********o
esconyar,e******r
esconyat,e******t
filldeputisme,f***********e
garrepa,g*****a
gilipolla,g*******a
gilipolles,g********s
gilipollisme,g**********e
gitanada,g******a
idiota,i****a
imbècil,i*****l
jilipolles,j********s
llepaculs,l*******s
malcarada,m*******a
malcarat,m******t
malfollades,m*********s
malparida,m*******a
malparides,m********s
malparit,m******t
malparits,m*******s
maricón,m*****n
maricóna,m******a
mariconades,m*********s
maricons,m******s
megapolla,m*******a
merda,m***a
merdos,m****s
negrata,n*****a
negrates,n******s
pècora,p****a
pakis,p***s
panoli,p****i
pardal,p****l
pardala,p*****a
poca-solta,p********a
poca-vergonya,p***********a
polla,p***a
porca,p***a
puta,p**a
putada,p****a
putassa,p*****a
putejant,p******t
putejar,p*****r
putejat,p*****t
puteria,p*****a
puteta,p****a
putiferi,p******i
puto,p**o
putot,p***t
putu,p**u
recollons,r*******s
recontraputíssima,r***************a
recony,r****y
rehòstia,r******a
reputíssima,r*********a
subnormal,s*******l
superxarnegu,s**********u
tonta,t***a
tonto,t***o
torrapebrots,t**********s
tortilleres,t*********s
xoxo,x**o
