Αλβανόγυφτοι,Α**********ι
Αλογοσκουφίτσα,Α************α
Αρκουδόγυφτων,Α***********ν
Βυζάκια,Β*****α
Γαμήστε,Γ*****ε
Γερμαναράδες,Γ**********ς
Γερμαναράδων,Γ**********ν
Γερμανοτσολιάδες,Γ**************ς
Γύφτοι,Γ****ι
Ευρωλιγούρηδες,Ε************ς
Κατουρήθηκα,Κ*********α
Κλάσε,Κ***ε
Κουνίστρας,Κ********ς
Κουράδες,Κ******ς
Λελέδες,Λ*****ς
Λουλού,Λ****ύ
Μάπα,Μ**α
Μαλάκα,Μ****α
Μούλα,Μ***α
Μπαλουχιστάν,Μ**********ν
Μπαράς,Μ****ς
Μπαρουφολόγοι,Μ***********ι
Νέγρικης,Ν******ς
Νέγροι,Ν****ι
Νέγρος,Ν****ς
Σεξογλάστρες,Σ**********ς
Σούφρας,Σ*****ς
Τουρκαλάδες,Τ*********ς
Τουρκιά,Τ*****ά
Τουρκιστάν,Τ********ν
Τουρκόγυφτοι,Τ**********ι
Τουρκόσποροι,Τ**********ι
Τουρκόσπορους,Τ***********ς
Τουρκόφιλη,Τ********η
Τσογλανίτσα,Τ*********α
Τσογλαναραίοι,Τ***********ι
Χέσε,Χ**ε
Χεστήκαμε,Χ*******ε
έκλασε,έ****ε
έχεζες,έ****ς
έχεσα,έ***α
έχεσε,έ***ε
αγάμητες,α******ς
αδερφάρα,α******α
αδερφάρες,α*******ς
αερογάμηδες,α*********ς
αερογαμίας,α********ς
αιματορούφηδες,α************ς
αιμοπότη,α******η
αληταριά,α******ά
αλητονεολαία,α**********α
αλητοτουρίστες,α************ς
αλητόβιε,α******ε
αλλαξοκωλιές,α**********ς
αναρχοάπλυτα,α**********α
αναρχοβλαμμένα,α************α
αναρχοκάφρους,α***********ς
αναρχοσκούληκα,α************α
αναρχοτραμπούκοι,α**************ι
αντιμπατσικός,α***********ς
απάρθενος,α*******ς
αράπη,α***η
αράπηδες,α******ς
αράπης,α****ς
αράπικη,α*****η
αράπικο,α*****ο
αραπάδες,α******ς
αραπάκος,α******ς
αρχίδι,α****ι
αρχίδια,α*****α
αρχιδιακό,α*******ό
αυνάνες,α*****ς
αυτοχασισώνεται,α*************ι
βιζιτούδες,β********ς
βλακόφατσα,β********α
βλαμμένη,β******η
βλαμμένοι,β*******ι
βλαμμένους,β********ς
βλαχάρα,β*****α
βλαχάρες,β******ς
βλαχαδερά,β*******ά
βλαχαδερό,β*******ό
βλαχοαμερικάνους,β**************ς
βλαχοδήμαρχος,β***********ς
βλαχομπαρόκ,β*********κ
βλαχοπορνό,β********ό
βρωμόπουστας,β**********ς
βρωμόπουστες,β**********ς
βυζί,β**ί
βυζιά,β***ά
γάμησε,γ****ε
γαμάει,γ****ι
γαμάς,γ***ς
γαμάτο,γ****ο
γαμήσαμε,γ******ε
γαμήσει,γ*****ι
γαμήσι,γ****ι
γαμήσου,γ*****υ
γαμήσουμε,γ*******ε
