apeshit,a*****t
arsefuck,a******k
arsefuck's,a*******'s
arsefucked,a********d
arsefucker,a********r
arsefucker's,a*********'s
arsefuckers,a*********s
arsefuckers',a**********'
arsefucking,a*********g
arsefucks,a*******s
arsefucks',a********'
arsehole,a******e
arsehole's,a*******'s
arseholes,a*******s
arseholes',a********'
assfuck,a*****k
assfuck's,a******'s
assfucked,a******ed
assfucker,a******er
assfucker's,a********'s
assfuckers,a******ers
assfuckers',a*********'
assfucking,a******ing
assfucks,a*****ks
assfucks',a*******'
asshole,a*****e
asshole's,a******'s
assholes,a*****es
assholes',a*******'
bastard,b*****d
bastard's,b*****'s
bastards,b******s
batshit,b*****t
batshits,b*****ts
beaner,b***er
beaner's,b*****'s
beaners,b***ers
beaners',b******'
beef curtains,b**********s
beefcurtains,b**********s
bitch,b***h
bitches,b*****s
blow job,b*****b
blowjob,b*****b
blowjob's,b******'s
blowjobs,b*****bs
blowjobs',b*******'
brainfuck,b*******k
brainfuck's,b********'s
brainfucked,b********ed
brainfucker,b********er
brainfucker's,b**********'s
brainfuckers,b********ers
brainfuckers',b***********'
brainfucking,b********ing
brainfucks,b*******ks
brainfucks',b*********'
bullshit,b******t
bullshits,b******ts
bullshitted,b********ed
bullshitting,b********ing
buttfuck,b******k
buttfuck's,b*******'s
buttfucked,b*******ed
buttfucker,b*******er
buttfucker's,b*********'s
buttfuckers,b*******ers
buttfuckers',b**********'
buttfucking,b*******ing
buttfucks,b******ks
buttfucks',b********'
chickenshit,c*********t
chickenshits,c*********ts
chinaman,c******n
chinamen,c*****en
chink,c***k
chink's,c****'s
chinks,c***ks
chinks',c*****'
chinky,c****y
choad,c***d
chode,c***e
clit,c**t
clit's,c***'s
clits,c**ts
clits',c****'
clusterfuck,c*********k
clusterfucks,c**********s
cock,c**k
cock sucker,c********er
cock sucker's,c**********'s
cock suckers,c********ers
cock suckers',c***********'
cockfucker,c********r
cockfucker's,c**********s
cockfuckers,c*********s
cockfuckers',c**********'
cocks,c***s
cocksucker,c*******er
cocksucker's,c*********'s
cocksuckers,c*******ers
cocksuckers',c**********'
coolie,c****e
coolie's,c*****'s
coolies,c****es
coolies',c******'
coon,c**n
coon's,c***'s
coons,c**ns
coons',c****'
cum,c*m
cum's,c**'s
cumming,c***ing
cums,c*ms
cums',c***'
cunt,c**t
cunt's,c***'s
cunts,c**ts
cunts',c****'
cunty,c***y
dago,d**o
dago's,d***'s
dagoes,d***es
dagos,d**os
dagos',d****'
darkie,d****e
darkie's,d*****'s
darkies,d****es
darkies',d******'
darky,d***y
darky's,d****'s
dickfucker,d********r
dickfucker's,d**********s
dickfuckers,d*********s
dickfuckers',d**********'
dickhead,d******d
dickheads,d*******s
dicksucker,d********r
dicksucker',d*********'
dicksuckers,d*********s
fag,f*g
faggot,f****t
faggot's,f*****'s
faggots,f****ts
faggots',f******'
