bitchface,b*******e
bitchfaces,b********s
bitchfaces',b*********'
buggar's,b******s
buggars,b*****s
bumhole,b*****e
bumhole's,b*******s
bumholes,b******s
dbag,d**g
dbag's,d****s
dbags,d***s
douchebag,d*******g
hoochie,h*****e
hoochie's,h*******s
hoochies,h******s
hooha,h***a
jackoff's,j*******s
jackoffs',j*******'
kooch,k***h
koochie,k*****e
muffdiver,m*******r
muffdiver's,m*********s
muffdivers,m********s
muffdivers',m*********'
nutsack,n*****k
nutsack's,n*******s
nutsacks,n******s
nutsacks',n*******'
peckerwood,p********d
queef,q***f
queer,q***r
skankass,s******s
skankass's,s********s
skankasses,s********s
stfo,s**o
