argie,a***e
bellend,b*****d
bollix,b****x
bollixed,b******d
bollocked,b*******d
bollocks,b******s
boong,b***g
boonga,b****a
cunted,c****d
cuntish,c*****h
felch,f***h
felcher,f*****r
fucked,f****d
fuckwit,f*****t
geebag,g****g
gicker,g****r
gobshite,g******e
golliwog,g******g
gombeen,g*****n
gowl,g**l
jackoff,j*****f
jism,j**m
langer,l****r
langered,l******d
mong,m**g
mong,m**g
mongoloid,m*******d
munter,m****r
poe,p*e
pox,p*x
quim,q**m
scrote,s****e
shyster,s*****r
smeg,s**g
spastic,s*****c
squits,s****s
tosser,t****r
tosspot,t*****t
wab,w*b
waz,w*z
wog,w*g
