Hottentot,H*******t
Hottentots,H*******ts
Hottentots’,H*********’
Hottentot’s,H********’s
argie,a***e
argies,a****s
argies’,a*****’
argie’s,a****’s
arsefucking,a*******ing
bellend,b*****d
bellends,b******s
bellends’,b*******’
bellend’s,b******’s
bitch,b***h
bitches,b****es
bitches’,b******’
bitch’s,b****’s
blow jobs,b******s
blow jobs’,b*******’
blow job’s,b******’s
bollix,b****x
bollock,b*****k
bollocks,b******s
bollocks’,b*******’
bollock’s,b******’s
boong,b***g
boonga,b****a
boongas,b*****s
boongas’,b******’
boonga’s,b*****’s
boongs,b****s
boongs’,b*****’
boong’s,b****’s
chickenshits’,c***********’
chickenshit’s,c**********’s
chinaman’s,c*******’s
chinamen’s,c*******’s
cock,c**k
cocks,c***s
cocks’,c****’
cock’s,c***’s
cunted,c****d
facefuck,f******k
facefucked,f*******ed
facefucking,f*******ing
facefucks,f*******s
fags’,f***’
fag’s,f**’s
felch,f***h
felched,f****ed
felcher,f*****r
felchers,f*****rs
felchers’,f*******’
felcher’s,f******’s
felches,f****es
felching,f****ing
fok,f*k
fokken,f****n
foks,f*ks
fuckers’,f******’
fucker’s,f*****’s
fuckwads,f******s
fuckwads’,f*******’
fuckwad’s,f******’s
fuckwit,f*****t
fuckwits,f******s
fuckwits’,f*******’
fuckwit’s,f******’s
gicker,g****r
gickers,g*****s
gickers’,g******’
gicker’s,g*****’s
golliwog,g******g
golliwogs,g*******s
golliwogs’,g********’
golliwog’s,g*******’s
gringos’,g******’
gringo’s,g*****’s
honkies’,h******’
jackoff,j*****f
jackoffs,j******s
jackoffs’,j*******’
jackoff’s,j******’s
jism,j**m
jizzed,j***ed
jizzes,j***es
kaffer,k****r
kaffer's,k*****'s
kaffers,k****rs
kaffers',k******'
kaffir,k****r
kaffir's,k*****'s
kaffirs,k****rs
kaffirs',k******'
kak,k*k
krauts’,k*****’
kraut’s,k****’s
moffie,m***ie
moffies,m*****s
moffies’,m******’
moffie’s,m*****’s
mofos,m***s
mofos’,m****’
mofo’s,m***’s
mong,m**g
mongoloid,m*******d
mongoloids,m*******ds
mongoloids’,m*********’
mongoloid’s,m********’s
mongs,m***s
mongs’,m****’
mong’s,m***’s
naai,n**i
poe,p*e
poes,p**s
quim,q**m
shyster,s*****r
shysters,s******s
shysters’,s*******’
shyster’s,s******’s
skullfuck,s*******k
skullfucked,s********ed
unfuckable,u********e
unfucking,u*****ing
wab,w*b
waz,w*z
wog,w*g
wogs,w*gs
wogs’,w***’
wog’s,w**’s
