brutta stronza,b*************a
dio fa,d*****a
dio ladro,d********o
dio porco,d********o
dio stronzo,d**********o
figlia di puttana,f*****************a
figlia di troia,f***************a
figlio di puttana,f*****************a
figlio di troia,f***************a
madonna impestata,m***************a
madonna maiala,m*************a
madonna troia,m************a
mannaggia cristo,m***************o
mannaggia la madonna,m********************a
porca puttana,p************a
porco dio,p********o
testa di minchia,t****************a
vai a fare in culo,v********************o
