Bapak awak telur kecut,bapak awak t***r k***t
Bapak kamu telur kecut,bapak kamu t***r k***t
Bapak kau telur kecut,bapak kau t***r k***t
aku henjut mak,aku h****t mak
anak gampang,anak g*****g
anak haram,anak h***m
anak luar nikah,anak l**r n***h
bahlul,b****l
bapak telur kecut,bapak t***r k***t
bapakmu telur kecut,bapakmu t***r k***t
barua,b****
bijik gatal,b***k g***l
bijik hang,b***k h**g
bijik kelentit,b***k k******t
bijik panjang,b***k p*****g
bijik tersentil,b***k t*******l
burit,b***t
burit lebeh,b***t l***h
butoh,b***h
butoh pak hang,b***h pak hang
butu buruk,b**u buruk
butuh,b***h
butuh tua,b***h tua
cibai,c***i
cipap,c***p
gatal burit,g***l b***t
haram jadah,h***m j***h
hisap konek,h***p k***k
hisap telur,h***p t***r
isap kote anjing,i**p k**e anjing
isap kote kuda,i**p k**e kuda
jalang,j****g
jantan sial,j****n s**l
jilat jubur,j***t j***r
jilat lubang puki,j***t l****g p***
jilat nonok,j***t n***k
jilat puki,j***t p***
jilat tonton,j***t t****n
jilat totok,j***t t***k
kelentit,k******t
kepala bana,kepala b**a
kepala butoh,kepala b***h
kepala butto,kepala b***o
keting,k****g
konek,k***k
konek babi,k***k b**i
konek gajus,k***k g***s
kongkek,k*****k
kote,k**e
kote neraka,k**e n****a
kulum,k***m
kulum kote,k***m k**e
lahanat,l*****t
lancap,l****p
lanchiau,l******u
mangkuk hanyun,mangkuk h****n
mangkuk hayun,mangkuk h***n
melancap,m******p
ne-nen,n****n
nonok,n***k
palat,p***t
pantat,p****t
pantat berserabai,p****t b********i
peler,p***r
pelir,p***r
pelir mamak,p***r m***k
pepek,p***k
pepek daki,p***k d**i
pergi mampus,pergi m****s
puki,p***
puki anjing,p*** anjing
puki babi,p*** b**i
puki basi,p*** basi
puki busuk,p*** busuk
puki mak,p*** **k
pukimak,p*****k
pundek,p****k
puting lendir,p****g lendir
sial,s**l
sundal,s****l
telur loyot,t***r l***t
tetek,t***k
tetek menglebeh,t***k menglebeh
tetek senget,t***k senget
