babyporno,b*******o
babypornoen,b*********n
babysex,b*****x
babysexen,b*******n
barneporno,b********o
barnepornoen,b**********n
barnesex,b******x
barnesexen,b********n
bitch,b***h
føkk,f**k
føkka,f***a
føkker,f****r
føkkings,f******s
faen,f**n
faens,f***s
fitta,f***a
fitte,f***e
fittelandet,f*********t
fitten,f****n
fitter,f****r
fittetryne,f********e
fuck,f**k
fucka,f***a
fuckings,f******s
helvetes,h******s
horebukk,h******k
horunge,h*****e
jævla,j***a
jævlig,j****g
knulla,k****a
knulle,k****e
knuller,k*****r
knulles,k*****s
kuk,k*k
kuker,k***r
kukk,k**k
kukker,k****r
ludder,l****r
mongo,m***o
negerjævel,n********l
negerjævler,n*********r
nigger,n****r
niggere,n*****e
pakkiser,p******r
purkejævler,p*********r
rævkjørt,r******t
rævpult,r*****t
rasshøl,r*****l
satans,s****s
ståkuk,s****k
svarting,s******g
svartingene,s*********e
svartinger,s********r
utpult,u****t
