bastard,b*****d
bastarda,b******a
bastardoch,b********h
blbcami,b*****i
blbcoch,b*****h
blbej,b***j
blbiny,b****y
blbne,b***e
blbom,b***m
blbosťou,b******u
blbé,b**é
blbí,b**í
blbú,b**ú
blbý,b**ý
blbými,b****i
buzerant,b******t
buzerantom,b********m
buzerantov,b********v
buzerantovi,b*********i
buzna,b***a
chuji,c***i
chujovi,c*****i
chujovina,c*******a
debil,d***l
debili,d****i
debilitou,d*******u
debilko,d*****o
debilkov,d******v
debilku,d*****u
debilne,d*****e
debilné,d*****é
debilný,d*****ý
debilom,d*****m
debilov,d*****v
degeš,d***š
degeši,d****i
dementa,d*****a
dementi,d*****i
dementne,d******e
dementný,d******ý
dementov,d******v
dementovi,d*******i
dilinko,d*****o
dilino,d****o
dodrbal,d*****l
dodrbe,d****e
dodrbávanie,d*********e
drbnúť,d****ť
hajzel,h****l
hajzle,h****e
hajzli,h****i
hajzlom,h*****m
hajzlík,h*****k
hajzlíky,h******y
hovadina,h******a
hovadine,h******e
hovadinku,h*******u
hovienko,h******o
hovna,h***a
hovno,h***o
hovnová,h*****á
hovná,h***á
jeb,j*b
jebal,j***l
jebačka,j*****a
jebať,j***ť
jebe,j**e
jeblina,j*****a
jebnutom,j******m
jebo,j**o
jebák,j***k
kokot,k***t
kokotina,k******a
kokotiny,k******y
kokotsky,k******y
kraviny,k*****y
kravín,k****n
kurevsky,k******y
kurva,k***a
kurvy,k***y
lesba,l***a
lesieb,l****b
mrdnutím,m******m
nahovno,n*****o
naprd,n***d
naserie,n*****e
nasieral,n******l
nasral,n****l
nasrali,n*****i
nasralo,n*****o
nasrané,n*****é
nasraný,n*****ý
nasratosti,n********i
nasraté,n*****é
nasratý,n*****ý
nasrať,n****ť
negrom,n****m
negrov,n****v
nekurvím,n******m
nenasral,n******l
neodrbe,n*****e
neodrbeš,n******š
neposer,n*****r
neser,n***r
neserú,n****ú
nesrali,n*****i
nesralo,n*****o
odjeb,o***b
odrbal,o****l
odrbať,o****ť
odrbe,o***e
odrbáva,o*****a
odrbávať,o******ť
ojeb,o**b
osraným,o*****m
piča,p**a
pičisko,p*****o
pičný,p***ý
pičovina,p******a
pojeb,p***b
poser,p***r
poserieš,p******š
posrala,p*****a
posralo,p*****o
posrať,p****ť
presral,p*****l
presrali,p******i
priblblé,p******é
priblblých,p********h
priblbo,p*****o
pruser,p****r
prúser,p****r
prúseroch,p*******h
prďúsi,p****i
prďúsov,p*****v
ritiek,r****k
riť,r*ť
rozjeb,r****b
rozjebal,r******l
serem,s***m
serete,s****e
seriem,s****m
skurvena,s******a
skurvene,s******e
skurveny,s******y
sproste,s*****e
sprostej,s******j
sprostejšie,s*********e
sprosto,s*****o
sprostosti,s********i
sprostota,s*******a
sprostou,s******u
sprostého,s*******o
sprostí,s*****í
sprostú,s*****ú
srací,s***í
sranie,s****e
sračiek,s*****k
sračku,s****u
sračky,s****y
sračkách,s******h
srať,s**ť
sráčmi,s****i
suka,s**a
suky,s**y
superblbec,s********c
sviniar,s*****r
svinstiev,s*******v
svinstva,s******a
svinstve,s******e
svinstvá,s******á
svinstvách,s********h
trtkačka,t******a
trtkať,t****ť
tupcom,t****m
tupcov,t****v
vydrbali,v******i
vydrbe,v****e
vyjeb,v***b
vyserie,v*****e
vyseriem,v******m
vyserte,v*****e
vysral,v****l
zaprdenom,z*******m
zasrani,z*****i
zasranov,z******v
zblbol,z****l
zdebilieva,z********a
zhovadilosti,z**********i
zmrd,z**d
zmrda,z***a
zmrdi,z***i
čurák,č***k
šukanie,š*****e
