SM,**
一樓一,一*一
乜鳩,乜*
乳交,**
乸型,**
仆你個臭街,**個**
仆你個街,**個*
仆晒街,**街
仆街,*街
仆街仔,**仔
仆街女,**女
今朝拮你籮柚,今朝****
他媽的,他*的
你好on9,你好**
你老味,你**
你老尾,你**
你鹵味,你**
做乜撚,做乜*
做乜撚嘢,做乜**
做咩撚,做咩*
八公,*公
八婆,*婆
冚家剷,**剷
冚家剷,***
冚家富貴,冚家**
冚家拎,**拎
冚家鏟,***
口交,**
口爆,**
叫雞,叫*
叫鴨,叫*
叼,*
叼你,*你
叼你老母,*你**
叼叼揈,**揈
叼尻,**
叼搵你,**你
叼柒,**
叼那媽,***
含撚,含*
多鳩餘,多*餘
大撚鑊,大*鑊
大波,大*
大鳩鑊,大**
好撚,好*
好撚 oN9,好****
好撚柒,好**
好on9,好**
妖,*
孤鳩寒,孤*寒
射精,**
尻,*
屄,*
屌,*
屌你,*你
屌你老味,*你**
屌你老味,*你**
屌你老味閪,*你***
屌你老母,*你**
屌你老母臭閪,*你****
屌你老母閪,*你***
屌佢,**
屌尻,**
屌尻你,**你
屌屌揈,**揈
屌搵你,**你
屌柒,**
屌那媽,***
屌那星,**星
屎忽鬼,**鬼
幹你娘,**娘
廢柴,*柴
戇居,戇*
戇撚鳩,***
戇膠,**
戇鳩,**
戇鳩鳩,***
扑嘢,**
打手槍,打**
打柒佢,**佢
打潛艇,打**
打靶仔,**仔
打飛機,打**
扯旗,**
把撚,**
指交,**
援交,援*
援交妹,援*妹
撚,*
撚嘢,**
撚屌,**
撚樣,*樣
撲晒街,**街
撲街,*街
撲街仔,**仔
撲街女,**女
操你媽,**媽
攔坦,**
攪嘢,**
收皮,收*
收皮,**
收皮啦,**啦
春袋,**
是尻旦,是**
是撚旦,是**
晏晝叼你屎忽,晏晝****
晏晝叼你屎忽窿,晏晝*****
晏晝屌你屎忽,晏晝****
晏晝屌你屎忽窿,晏晝*****
柒頭,*頭
條條揈,**揈
死柒頭,**頭
玩撚完,玩*完
生仔冇屎忽,生仔***
生仔無屎忽,生仔***
生仔無屎窟,生仔***
痴撚線,**線
痴鳩線,**線
白鬼,白*
碌柒,碌*
笨柒,笨*
粉皮,**
粉腸,**
肛交,**
腳交,**
臭西,臭*
臭閪,臭*
西頭,*頭
豬乸,**
豬兜,**
豬閪,**
賤,*
賤格,*格
賤種,*種
賤精,*精
躝癱,**
閪,*
閪頭,*頭
雜種,*種
頂你個肺,****
顏射,**
食屎,食*
食撚屎,食**
鳩,*
黐鰈筋,**筋
黑鬼,黑*
on9,**
up乜春,***
