㩕老師,*老師
三小,**
下地獄,下**
下賤,**
他奶奶,他**
他奶奶的,他***
他姥姥,他**
他媽的,他*的
他媽的,他**
他祖宗,他**
他馬的,他*的
你老母,你**
內射,內*
北七,**
北嘛,**
去你的,去**
去死,去*
口交,口*
口爆,口*
吃屌,*
吃屎,*
吞精,吞*
吹簫,吹*
哭夭,**
哭爸,**
唧唧歪歪,****
嘰歪,**
婊子,**
媽的,*的
射精,射*
尻,*
屁眼,**
屄,*
屌,*
幹他,*他
幹你,*你
幹你娘,幹**
幹你老師,幹***
幹恁娘,幹**
幹恁老師,幹***
幹恁老母,幹***
幹林,*林
恁娘卡好,恁***
懶叫,**
懶趴,**
我操,我*
我靠,我*
打手槍,打**
打泡,打*
打炮,打*
打飛機,打**
操你,*你
操你媽的B,操***
操俗揦,操**
日本鬼子,日本**
機八,**
機巴,**
機掰,**
死泡菜,**菜
母狗,*狗
洋鬼子,洋**
混帳,**
混蛋,**
狗娘,狗*
狗屁,狗*
狗屎,狗*
王八,王*
王八蛋,王**
畜生,*生
白鬼,白*
破麻,**
老木,老*
老母,老*
老目,老*
老雞排,老**
肚爛,肚*
臭雞掰,臭**
草枝擺,草**
該死,該*
賤人,**
賽羚羊,賽**
趕羚羊,趕**
雞八,**
雞巴,**
雞掰,**
雞歪,**
靠北,**
靠卑,**
靠夭,**
靠背,**
靠腰,**
韓狗,韓*
顏射,顏*
馬的,*的
駛恁娘,駛**
鬼子,*子
黑鬼,黑*
龜兒子,龜**
asshole,a*****e
bitch,b***h
blowjob,b*****b
bullshit,b******t
fuck,f**k
fuckin,f****n
fucking,f***ing
fucks,f**ks
motherfuck,m********k
motherfucker,m*********er
motherfucking,m*********ing
shit,s**t
