Client,word,machine_translation,human_translation,theme,category,description,earliest event type,earliest event date,latest event type,latest event date
YY,安徽老乡聚集万人,Anhui villagers gather people,Anhui villagers gather tens of thousands of people,Event,Jingwen incident ,"May 2013 event when women fell from building, police ruled suicide, family organized thousands in march to ask for investigation: https://zh.wikipedia.org/wiki/%E4%BA%AC%E6%B8%A9%E4%BA%8B%E4%BB%B6",del,2015-06-01,del,2015-06-01
YY,上万安徽人齐游行,Tens of thousands of people in Anhui Qi parade,Tens of thousands of Anhui people parade together,Event,Jingwen incident ,"May 2013 event when women fell from building, police ruled suicide, family organized thousands in march to ask for investigation: https://zh.wikipedia.org/wiki/%E4%BA%AC%E6%B8%A9%E4%BA%8B%E4%BB%B6",del,2015-06-01,del,2015-06-01
YY,习主席一定会还你一个公道,Xi Chairman will give you a fair,Xi Chairman will give you justice,Event,Jingwen incident ,https://www.facebook.com/permalink.php?id=363954997032792&story_fbid=715283801899908,del,2015-06-01,del,2015-06-01
YY,京温跳楼事件,Jingwen jumping events,,Event,Jingwen incident ,"May 2013 event when women fell from building, police ruled suicide, family organized thousands in march to ask for investigation: https://zh.wikipedia.org/wiki/%E4%BA%AC%E6%B8%A9%E4%BA%8B%E4%BB%B6",del,2015-06-01,del,2015-06-01
YY,袁利亚离奇死亡,Yuan Elijah died mysteriously,Yuan Liya died mysteriously,Event,Jingwen incident ,"May 2013 event when women fell from building, police ruled suicide, family organized thousands in march to ask for investigation: https://zh.wikipedia.org/wiki/%E4%BA%AC%E6%B8%A9%E4%BA%8B%E4%BB%B6",del,2015-06-01,del,2015-06-01
YY,女儿惨死还我公道,Daughter died also my justice,"Daughter died tragically, Give me justice",Event,Jingwen incident ,"May 2013 event when women fell from building, police ruled suicide, family organized thousands in march to ask for investigation: https://zh.wikipedia.org/wiki/%E4%BA%AC%E6%B8%A9%E4%BA%8B%E4%BB%B6",del,2015-06-01,del,2015-06-01
YY,现场大秀,Live big show,,social ,prurient,,first_seen,2015-06-01,last_seen,2016-09-09
YY,觉行之路,Sense line of the road,,political ,Huazang Dharama,"A Google+ page seemingly maintained by Wu Zeheng, a Buddhist master who has long been at odds with the government. The page criticizes the existence of China's Great Firewall and advocates Chinese netizens to unite together for change. https://plus.google.com/115906818024847724968",del,2015-06-01,del,2015-06-01
YY,hz上海,Hz Shanghai,,Misc,context unclear,,del,2015-06-01,del,2015-06-01
YY,禅风,Zen,,political ,Huazang Dharama,"Likely referring to a doctrine of the Buddist-inspired Hua Zang Dharma group started by Wu Zeheng, a villager born in Huilai county of Guangdong Province in China.",del,2015-06-01,del,2015-06-01
YY,聚心堂,Poly Coeur,,political ,Huazang Dharama,Likely referring to a gathering venue for Wu Zeheng's Buddhist-inspired Hua Zang Dharma group.,del,2015-06-01,del,2015-06-01
YY,辰华集团,Chen Hua Group,,political ,Huazang Dharama,"Name of a Shenzhen-based company. A Chinese newspaper reported that Wu Zeheng is a ""cult"" leader and was gaining profits illegally from his networks and followers. http://news.dayoo.com/guangzhou/201408/29/73437_37858925.htm",del,2015-06-01,del,2015-06-01
YY,企业联合会,Business Association,Enterprise Confederation,political ,Huazang Dharama,"Likely referring to ""Huazang Enterprise Confedration"" established by Wu Zeheng, a Buddist sect leader from Guangdong.",del,2015-06-01,del,2015-06-01
YY,两善,Two good,,political ,Huazang Dharama,"A slogan of a charity project started by Wu Zeyuan, a Buddhist master who has long been at odds with the government and was arrested in August 2014. http://blog.sina.com.cn/s/blog_e48da5a90101i9at.html",del,2015-06-01,del,2015-06-01
YY,公民互爱,Citizen mutual love,,political ,Huazang Dharama,,del,2015-06-01,del,2015-06-01
YY,企业家联谊会,Entrepreneurs Association,,political ,Huazang Dharama,"Reference to the ""Hua Zang Entreprises Association"" set up by Wu Zeheng, a Buddist sect leader from Guangdong who was taken by the police in August 2014 and late sentenced to life in prison and lifetime deprivation of political rights in 2015. http://epaper.oeeee.com/epaper/A/html/2014-08/29/content_3305285.htm?div=-1",del,2015-06-01,del,2015-06-01
YY,《生命的本质》,"""Essence of life""",,misc ,context unclear,http://www.baike.com/wiki/%E7%94%9F%E5%91%BD%E7%9A%84%E6%9C%AC%E8%B4%A8,del,2015-06-01,del,2015-06-01
YY,《社会契约论》,"""Social Contract""",,misc ,context unclear,Reference to a book in which Rousseau theorized about the best way to establish a political community in the face of the problems of commercial society. https://en.wikipedia.org/wiki/The_Social_Contract,del,2015-06-01,del,2015-06-01
YY,法.论.大.法.好,French. On big. Act Good,,political ,falun gong,,add,2015-06-01,last_seen,2016-09-09
YY,WWW . bΧΧ3.сoм,WW. BΧΧ3.сoм,,technology,url,,add,2015-06-02,del,2016-06-01
YY,hhedns.com,Hhedns.com,,technology,url,,first_seen,2015-06-01,del,2015-06-03
YY,de.im,De.im,,technology,url,,first_seen,2015-06-01,del,2015-06-03
YY,a.gp,A.gp,,technology,url,,first_seen,2015-06-01,del,2015-06-03
YY,7b7b.info,7b7b.info,,technology,url,,first_seen,2015-06-01,del,2015-06-03
YY,id.dvowanyy.com,Id.dvowanyy.com,,technology,url,,first_seen,2015-06-01,del,2015-06-03
YY,赌风暴疾,Gambling storm illness,,Social,gambling ,,first_seen,2015-06-01,del,2015-06-03
YY,同性恋服务无码电影下载,Gay Uncensored movie download service,,Social,Prurient,,first_seen,2015-06-01,del,2015-06-03
YY,im.cx,Im.cx,,technology,url ,,first_seen,2015-06-01,del,2015-06-03
YY,eu.cm,Eu.cm,,technology,url ,,first_seen,2015-06-01,del,2015-06-03
YY,y-y.com,Y-y.com,,technology,url ,,first_seen,2015-06-01,del,2015-06-03
YY,反通,Anti-pass,,misc ,context unclear,,first_seen,2015-06-01,del,2015-06-03
