Person,Google Translate,Bing Impressions,Bing Broad Impressions
习近平,Xi Jinping,252580,287365
张高丽,Zhang Gaoli,136627,172353
江泽民,Jiang Zemin,77018,83591
薄熙来,Bo Xilai,64692,64783
胡锦涛,Hu Jintao,42438,42967
李克强,Li Keqiang,40907,42920
林彪,Lin Biao,35132,36235
温家宝,Wen Jiabao,32676,32800
习仲勋,Xi Zhongxun,24108,24456
周永康,Zhou Yongkang,24053,24134
朱德,Jude,23729,24020
王岐山,Wang Qishan,22688,22964
韩正,Han Zheng,22526,22557
栗战书,Li Zhanshu,20298,20298
汪洋,Wang Yang,19602,19774
彭丽媛,Peng Liyuan,19441,19587
江青,Jiang Qing,18705,18705
胡春华,Hu Chunhua,18423,18423
赵紫阳,Zhao Ziyang,18283,18303
王沪宁,Wang Huning,18080,18109
习明泽,XI mingze,15869,15935
朱镕基,Zhu Rongji,15429,15472
陈云,Chen Yun,15131,15264
孙春兰,Sun Chunlan,14242,16440
陈毅,Chen Yi,12808,12831
贺龙,He Long,12795,12865
刘鹤,Liu He,12072,13135
刘晓庆,Liu Xiaoqing,11289,11329
李强,Li Qiang,9852,10368
李鹏,Li Peng,9584,9584
令计划,order plan,9380,9380
曾庆红,Zeng Qinghong,8255,8451
郭文贵,Guo Wengui,8220,8387
赵乐际,Zhao Leji,8115,8115
高岗,Gao Gang,8105,8126
李源潮,Li Yuanchao,6995,6995
子安武人,Zian Wuren,6387,6387
刘晓波,Liu Xiaobo,6260,6260
俞正声,Yu Zhengsheng,6240,6240
宋平,Song Ping,5848,6159
蔡奇,Cai Qi,5741,5761
孙政才,Sun Zhengcai,5520,5542
孟建柱,Meng Jianzhu,5404,5421
陈敏尔,Chen Miner,5208,5208
陈希,Chen Xi,5061,5061
王洪文,Wang Hongwen,5036,5036
李洪志,Li Hongzhi,4591,4591
王蒙,Wang Meng,4561,4561
张德江,Zhang Dejiang,4416,4488
张春桥,Zhang Chunqiao,4154,4154
乌兰夫,Ulanf,4134,4192
刘志军,Liu Zhijun,4118,4118
吴邦国,Wu Bangguo,4052,4078
王小洪,Wang Xiaohong,4038,4074
贺国强,He Guoqiang,3645,3645
李希,Li Xi,3592,3592
李瑞环,Li Ruihuan,3586,3687
吴官正,Wu Guanzheng,3428,3428
刘延东,Liu Yandong,3094,3094
早乙女露依,Saotome Lui,3078,3136
曾庆淮,Zeng Qinghuai,3067,3253
黄坤明,Huang Kunming,3059,3102
苏荣,Su Rong,2824,2824
汪东兴,Wang Dongxing,2759,2759
北川景子,Kitagawa Keiko,2737,2737
杨雄,Yang Xiong,2677,2677
张春贤,Zhang Chunxian,2604,2604
孟宏伟,Meng Hongwei,2575,2619
李长春,Li Changchun,2482,2482
王晨,Wang Chen,2448,2448
贾庆林,Jia Qinglin,2429,2429
麻美由真,Asami Yuma,2381,2424
刘云山,Liu Yunshan,2373,2373
蔡霞,Cai Xia,2316,2317
郭金龙,Guo Jinlong,2314,2314
黄永胜,Huang Yongsheng,2309,2309
王丹,Wang Dan,2098,2098
陈希同,Chen Xitong,2098,2098
黄菊,yellow chrysanthemum,2085,2085
坦克人,tank man,1938,1938
鲁炜,Lu Wei,1926,1926
王小丫,Wang Xiaoya,1893,1893
吴仪,Wu Yi,1683,1683
车俊,Cha Jun,1668,1668
李岚清,Li Lanqing,1639,1639
夏宝龙,Xia Baolong,1602,1602
吴小晖,Wu Xiaohui,1537,1537
刘奇葆,Liu Qibao,1496,1496
梁振英,Leung Chun-ying,1484,1484
侯德健,Hou Dejian,1481,1481
马凯,Mackay,1403,1403
母其弥雅,Miya,1401,1401
郑好娟,Zheng Haojuan,1321,1321
令谷,Linggu,1295,1295
李建国,Li Jianguo,1240,1240
尤权,You Quan,1225,1225
沈跃跃,Shen Yueyue,1199,1290
乔石,Qiao Shi,1164,1164
栗山千明,Kuriyama Chiaki,1072,1072
李瑜美,Li Yumei,984,984
刘永清,Liu Yongqing,977,977
罗干,Luo Gan,914,914
王兆国,Wang Zhaoguo,868,868
程虹,Cheng Hong,864,864
尉健行,Wei Jianxing,828,828
好妹妹乐队,good sister band,808,808
布赫,Buch,797,797
黄敬,Huang Jing,791,791
杨晶,Yang Jing,779,779
回良玉,Hui Liangyu,737,737
王乐泉,Wang Lequan,731,731
王珉,Wang Min,724,724
杜宪,Du Xian,664,664
谷牧,Gu Mu,590,590
白石瞳,Hitomi Shiraishi,580,580
张庆黎,Zhang Qingli,572,572
谷丽萍,Gu Liping,528,528
张立昌,Zhang Lichang,527,527
邓家贵,Deng Jiagui,527,527
北川瞳,Hitomi Kitagawa,433,433
松野井雅,Matsunoi Masa,433,433
安藤政信,Ando Masanobu,431,431
江泽慧,Jiang Zehui,371,371
车峰,car peak,350,350
戴晴,Dai Qing,349,349
庹震,Tuo Zhen,323,344
麻生希,Aso Nozomi,317,3944
前田拳太郎,Kentaro Maeda,277,277
五代友厚,Five generations of friends,226,226
张培莉,Zhang Peili,214,214
赵洪祝,Zhao Hongzhu,212,212
秋田汐梨,Akita Shiori,162,162
芦名尤莉亚,Ashina Yulia,161,161
袁红冰,Yuan Hongbing,144,144
川口百合凪,Kawaguchi Lily Nagi,135,135
上原多香子,Uehara Takako,125,125
栗原小卷,Kurihara Small Roll,113,113
曾培炎,Zeng Peiyan,102,102
桃井望,Momoi Nozomi,97,97
程翔,Cheng Xiang,81,81
丁子霖,Ding Zilin,75,75
糖妹,sugar girl,73,73
王军涛,Wang Juntao,62,62
陈希郡,Chen Xijun,57,57
李卓人,Li Zhuoren,43,43
万润南,Wan Runnan,41,41
