Person,Google Translate,Bing Impressions,Bing Broad Impressions
张高丽,Zhang Gaoli,529,748
习近平,Xi Jinping,489,524
毛泽东,Mao Zedong,184,190
江泽民,Jiang Zemin,167,168
傅政华,Fu Zhenghua,116,117
陈独秀,Chen Duxiu,115,119
胡锦涛,Hu Jintao,102,102
王岐山,Wang Qishan,100,106
邓小平,Deng Xiaoping,92,95
薄熙来,Bo Xilai,91,91
陈破空,Chen Pokong,86,86
李大钊,Li Dazhao,84,86
桃乃木香奈,Momonogi Chanel,80,88
黄明志,Huang Mingzhi,73,93
林彪,Lin Biao,72,72
汪洋,Wang Yang,72,72
习明泽,XI mingze,70,70
彭丽媛,Peng Liyuan,69,69
王沪宁,Wang Huning,67,67
李克强,Li Keqiang,66,69
刘晓波,Liu Xiaobo,62,62
坦克人,tank man,61,61
横山美雪,Yokoyama Miyuki,59,59
陈秋实,Chen Qiushi,56,56
周永康,Zhou Yongkang,55,55
胡春华,Hu Chunhua,55,55
江青,Jiang Qing,54,54
周恩来,Zhou Enlai,53,53
张国焘,Zhang Guotao,52,54
汪精卫,Wang Jingwei,51,51
温家宝,Wen Jiabao,45,45
胡耀邦,Hu Yaobang,45,45
北川景子,Kitagawa Keiko,44,45
彭德怀,Peng Dehuai,43,43
山下智久,Yamashita Tomohisa,41,41
任志强,Ren Zhiqiang,40,40
宋平,Song Ping,39,39
华国锋,Hua Guofeng,38,38
曾庆红,Zeng Qinghong,38,38
朱镕基,Zhu Rongji,38,38
习仲勋,Xi Zhongxun,37,37
谭晶,Tan Jing,37,37
麻生希,Aso Nozomi,37,37
李鹏,Li Peng,36,36
孟宏伟,Meng Hongwei,35,40
神话,myth,35,37
林夕,Lin Xi,35,35
