Person,Google Translate,Bing Impressions,Bing Broad Impressions
张高丽,Zhang Gaoli,136627,172353
江泽民,Jiang Zemin,77018,83591
胡锦涛,Hu Jintao,42438,42967
温家宝,Wen Jiabao,32676,32800
周永康,Zhou Yongkang,24053,24134
王岐山,Wang Qishan,22688,22964
韩正,Han Zheng,22526,22557
栗战书,Li Zhanshu,20298,20298
汪洋,Wang Yang,19602,19774
胡春华,Hu Chunhua,18423,18423
赵紫阳,Zhao Ziyang,18283,18303
王沪宁,Wang Huning,18080,18109
朱镕基,Zhu Rongji,15429,15472
孙春兰,Sun Chunlan,14242,16440
李鹏,Li Peng,9584,9584
曾庆红,Zeng Qinghong,8255,8451
赵乐际,Zhao Leji,8115,8115
李源潮,Li Yuanchao,6995,6995
孙政才,Sun Zhengcai,5520,5542
孟建柱,Meng Jianzhu,5404,5421
张德江,Zhang Dejiang,4416,4488
吴邦国,Wu Bangguo,4052,4078
贺国强,He Guoqiang,3645,3645
李瑞环,Li Ruihuan,3586,3687
吴官正,Wu Guanzheng,3428,3428
刘延东,Liu Yandong,3094,3094
杨雄,Yang Xiong,2677,2677
张春贤,Zhang Chunxian,2604,2604
李长春,Li Changchun,2482,2482
贾庆林,Jia Qinglin,2429,2429
麻美由真,Asami Yuma,2381,2424
郭金龙,Guo Jinlong,2314,2314
黄菊,yellow chrysanthemum,2085,2085
鲁炜,Lu Wei,1926,1926
吴仪,Wu Yi,1683,1683
李岚清,Li Lanqing,1639,1639
刘奇葆,Liu Qibao,1496,1496
马凯,Mackay,1403,1403
郑好娟,Zheng Haojuan,1321,1321
令谷,Linggu,1295,1295
李建国,Li Jianguo,1240,1240
乔石,Qiao Shi,1164,1164
李瑜美,Li Yumei,984,984
罗干,Luo Gan,914,914
尉健行,Wei Jianxing,828,828
回良玉,Hui Liangyu,737,737
王乐泉,Wang Lequan,731,731
王珉,Wang Min,724,724
张庆黎,Zhang Qingli,572,572
谷丽萍,Gu Liping,528,528
张立昌,Zhang Lichang,527,527
前田拳太郎,Kentaro Maeda,277,277
秋田汐梨,Akita Shiori,162,162
川口百合凪,Kawaguchi Lily Nagi,135,135
上原多香子,Uehara Takako,125,125
曾培炎,Zeng Peiyan,102,102
桃井望,Momoi Nozomi,97,97
山中竹春,Yamanaka Bamboo Spring,93,97
萩原舞,Mai Hagihara,59,59
