Person,Google Translate,Bing Impressions,Bing Broad Impressions
河野太郎,Taro Kono,452,496
李大钊,Li Dazhao,362,383
天海翼,Amami Tsubasa,203,211
麻生希,Aso Nozomi,199,200
北川景子,Kitagawa Keiko,197,203
田村正和,Masakazu Tamura,164,173
陈丹青,Chen Danqing,148,149
山下智久,Tomohisa Yamashita,147,153
白石茉莉奈,Marina Shiraishi,145,148
佐佐木明希,Aki Sasaki,137,137
夏目彩春,Natsume Saiharu,135,135
美谷朱里,Shuri Miya,119,126
杉原杏璃,Anri Sugihara,116,119
石原莉奈,Rina Ishihara,112,112
艾未未,Ai Weiwei,110,110
友田真希,Maki Tomoda,107,108
田中圭,Kei Tanaka,99,99
周小平,Zhou Xiaoping,95,95
麻美由真,Asami Yuma,94,94
生田斗真,Ikuta Toma,92,107
西野翔,Sho Nishino,88,89
横山美雪,Yokoyama Miyuki,77,79
一色桃子,Momoko Isshiki,77,77
辻本杏,An Tsujimoto,76,77
立花里子,Riko Tachibana,74,74
河野洋平,Yohei Kono,68,82
吴建民,Wu Jianmin,55,55
今野杏南,Anna Konno,51,54
邓颖超,Deng Yingchao,41,41
安藤政信,Masanobu Ando,40,40
麻生早苗,Sanae Aso,38,38
罗荣桓,Luo Ronghuan,37,37
高坂保奈美,Honami Kosaka,37,37
