Person,Google Translate,Bing Impressions,Bing Broad Impressions
张高丽,Zhang Gaoli,3901,5147
江泽民,Jiang Zemin,1236,1300
王岐山,Wang Qishan,609,644
胡锦涛,Hu Jintao,582,586
周永康,Zhou Yongkang,479,479
曾庆红,Zeng Qinghong,469,469
汪洋,Wang Yang,453,453
赵紫阳,Zhao Ziyang,417,417
胡春华,Hu Chunhua,389,389
王沪宁,Wang Huning,374,374
孟建柱,Meng Jianzhu,336,336
温家宝,Wen Jiabao,261,261
孙政才,Sun Zhengcai,259,260
朱镕基,Zhu Rongji,238,238
李鹏,Li Peng,181,181
韩正,Han Zheng,180,180
赵乐际,Zhao Leji,155,155
栗战书,Li Zhanshu,122,122
孙春兰,Sun Chunlan,110,113
李源潮,Li Yuanchao,110,110
麻美由真,Asami Yuma,94,94
山中竹春,Yamanaka Bamboo Spring,79,91
贾庆林,Jia Qinglin,74,74
张德江,Zhang Dejiang,61,63
黄菊,yellow chrysanthemum,61,61
李瑞环,Li Ruihuan,55,55
令谷,Linggu,51,51
鲁炜,Lu Wei,42,42
杨雄,Yang Xiong,39,39
吴邦国,Wu Bangguo,37,39
李瑜美,Li Yumei,35,35
贺国强,He Guoqiang,35,35
