Person,Bing Impressions,Bing Broad Impressions
Bitch,10733,18319
XXXTentacion,8475,9287
Yua Mikami,5477,5682
Xi Jinping,5119,8238
Mia Khalifa,4487,4889
Tsukasa Aoi,2296,2381
Anri Okita,2244,2970
Jho Low,2225,2225
Tank Man,1817,1909
Kavin,1355,1356
Sunny Leone,1190,1394
Stormy Daniels,1186,1236
Jiang Zemin,1064,1064
Dita Von Teese,939,1071
Julia Ann,789,1557
Honoka,782,1212
Xi Mingze,743,743
Valentina Nappi,720,734
Jenna Jameson,614,651
Marica Hase,524,540
Mihiro,518,603
Belladonna,478,713
Kayden Kross,447,651
Francis Fukuyama,427,470
Iori Kogawa,422,446
Marc Dorcel,410,456
Erika Lust,406,413
Dick Cheney,368,386
Guo Wengui,360,360
Sola Aoi,281,282
Mana Sakura,273,296
Yuma Asami,263,264
Kagney Linn Karter,255,306
Jessica Drake,254,263
Sasha Grey,250,287
Jenifer,248,359
Aino Kishi,230,230
Empedocles,224,224
Brandi Love,223,349
Alan Cumming,215,215
Cytherea,210,239
Charle,210,213
Tina Yuzuki,203,205
Minon,189,189
Rocco Siffredi,186,188
Dick Van Dyke,184,206
Mia Malkova,169,247
Picha,164,164
Andrew Blake,147,153
Kendra Lust,146,180
Moana Pozzi,144,144
Eva Ionesco,141,145
Nao Saejima,139,139
Adriana Chechik,138,151
Stoya,137,978
Jesse Jane,134,136
Mario Salieri,134,134
Minako Komukai,131,131
Karen Horney,130,130
Silvia Saint,122,123
Brett Rossi,121,122
Karen Fukuhara,120,120
Julia Alexandratou,118,118
Lexi Belle,114,137
Li Hongzhi,112,112
Li Wenliang,110,110
Annette Schwarz,107,115
Nicole Aniston,106,138
Bree Olson,103,103
Uri Geller,103,103
Nikki Benz,102,113
Zhu Xi,101,121
Eva Angelina,91,96
Maria Takagi,90,90
Rina Aizawa,90,90
Tarra White,88,89
Kyoko Fukada,87,87
Tera Patrick,86,88
Laure Sainclair,86,86
Jenna Haze,85,94
Dick Smith,82,89
Dick Wolf,82,87
Xi Zhongxun,81,81
Jules Jordan,80,106
Nao Oikawa,79,79
Remy LaCroix,78,82
Chelsea Charms,78,79
Tessa Fowler,77,113
Dick Bruna,75,75
Elena Berkova,75,75
Fukuzawa Yukichi,75,75
Ovidie,75,75
Tommy Gunn,72,76
Briana Banks,72,73
Natsuki Ozawa,70,70
Hebe Tien,68,68
Akiho Yoshizawa,67,100
Kaoru Kuroki,67,67
Chen Yi,66,139
Brian Tee,66,66
Maria Ozawa,65,98
Arpad Miklos,65,65
Paul McCarthy,65,65
Carter Cruise,64,70
Kelly Shibari,64,64
Gigi Gorgeous,63,63
Wangechi Mutu,63,63
Rehana,62,64
Asa Akira,61,128
Simon Rex,61,62
Momofuku Ando,61,61
Twinkle Khanna,61,61
Ai Iijima,60,60
Linda Lovelace,59,61
Kay Parker,58,98
Anna Polina,57,71
Naked Cowboy,57,59
Nana Asakawa,57,57
Shyla Stylez,56,58
Tori Black,55,73
Adria Rae,55,55
Prince Yahshua,55,55
Yasmin Lee,54,55
Akari Asahina,54,54
Ron Jeremy,52,195
Alexis Texas,52,97
Shakuntala Devi,52,52
Little Caprice,51,101
Stacy Valentine,51,51
Dick Turpin,49,49
Lee Donghae,49,49
Savanna Samson,49,49
Dick Pound,48,48
Klaus Fuchs,48,48
Rayveness,48,48
Eri Ishida,47,47
Rico Nasty,47,47
Dick Clark,46,48
Elly Akira,46,46
Evan Stone,45,45
Jock Sturges,45,45
Kimber James,44,46
Billy Dee Williams,41,41
Hitomi Kobayashi,41,41
Karin Schubert,41,41
Pansy Ho,41,41
Blair Williams,39,49
Jelena Jensen,39,39
Kristen Bjorn,39,39
Suze Randall,39,39
August Ames,38,88
Kianna Dior,38,40
Giles Corey,38,38
Giovanni Verga,37,37
Kaylani Lei,36,101
Nina Hartley,36,52
Chen Yun,36,36
Ilona Staller,36,36
Armond Rizzo,35,35
Dasha Zhukova,35,35
Irina Ionesco,35,35
Kesarin Chaichalermpol,35,35
