Person,Bing Impressions,Bing Broad Impressions
Riley Reid,173914,249496
Brandi Love,155369,225147
Mia Khalifa,145750,253511
XXXTentacion,114897,185670
Mia Malkova,102932,132457
Dick Van Dyke,94166,125900
Xi Jinping,88581,452631
Nina Hartley,87875,114110
Adriana Chechik,85145,103422
Jenna Jameson,83990,111517
Bree Olson,81552,93257
Kendra Lust,76888,98002
Alexis Texas,73487,98644
Julia Ann,73316,93826
Tori Black,72787,88211
Christy Canyon,70740,82465
Nicole Aniston,70456,94814
Lexi Belle,65757,76051
Kay Parker,65240,82091
Traci Lords,63108,81222
Ron Jeremy,59530,171616
Kayden Kross,58543,64748
Asa Akira,56664,78346
August Ames,55027,62399
Sasha Grey,52934,66639
Shyla Stylez,51987,55695
Remy LaCroix,51902,64078
Jesse Jane,47223,51049
Stormy Daniels,44375,64540
Amber Lynn,43606,61390
India Summer,43175,56701
Tera Patrick,42620,46467
Ginger Lynn,42616,50840
Chanel Preston,42054,45225
Little Caprice,41708,50954
Marilyn Chambers,40199,47750
Jenna Haze,38837,47176
John Holmes,36974,45893
Tank Man,36101,45152
Racquel Darrian,35146,36881
Dick Cheney,34794,42261
Janine Lindemulder,33988,36957
Asia Carrera,32073,35315
Katie Morgan,31963,44071
Sunny Leone,31393,61260
Jessica Drake,31319,34923
Billy Dee Williams,31204,31325
Peter North,30961,43460
Seka,30348,42033
Nikki Benz,30254,34356
Dick York,28473,28501
Dita Von Teese,27458,30105
Tessa Fowler,27369,41958
Ashlyn Gere,25903,26751
Stoya,25871,28634
Kagney Linn Karter,25665,28016
Annette Haven,25346,26848
Savanna Samson,25113,26218
Briana Banks,24254,26134
Linda Lovelace,23814,28251
Carter Cruise,23561,27933
Yurizan Beltran,23461,24323
Bambi Woods,23252,23910
Aurora Snow,22619,23564
Juliet Anderson,22567,22954
Bitch,22527,159489
Dick Cavett,21973,37481
Veronica Hart,21928,22837
Eva Angelina,21876,24406
Amber Rayne,21824,22713
Tracey Adams,21803,23015
Anikka Albrite,21721,22255
