,baidu.com,stcn.com,chinanews.com.cn,people.cn,npc.gov.cn,cb.com.cn,court.gov.cn,tibet.cn,cctv.com.cn,cnii.com.cn,nia.gov.cn,cnpharm.com,jjckb.cn,cntheory.com,women.org.cn,taiwan.cn,chinadaily.com.cn,cyol.com,huanqiu.com,cac.gov.cn,ccoalnews.com,cpd.com.cn,mva.gov.cn,bmronline.com.cn,chinanews.com,ncha.gov.cn,youth.cn,stdaily.com,cs.com.cn,cntv.cn,qizhiwang.org.cn,ccps.gov.cn,spp.gov.cn,www.gov.cn,cppcc.gov.cn,china.com.cn,cfgw.net.cn,ce.cn,cyol.net,plapic.com.cn,moa.gov.cn,xinhua.org,cenews.com.cn,qstheory.cn,chinacourt.org,idcpc.org.cn,cet.com.cn,people.com.cn,peopledaily.com.cn,chinapeace.gov.cn,china.org.cn,news.cn,cctv.cn,81.cn,dswxyjy.org.cn,xuexi.cn,cri.cn,nea.gov.cn,12371.cn,ccdi.gov.cn,cbt.com.cn,xinhuanet.com,financialnews.com.cn,moj.gov.cn,cctv.com,gmw.cn,cnr.cn,zytzb.gov.cn,neac.gov.cn,mofcom.gov.cn,chinatax.gov.cn,hebtv.com,ccdy.cn,qunzh.com,rmzxb.com.cn,jsjc.gov.cn,tianjinwe.com,ynet.com,audit.gov.cn,ifeng.com,huaxia.com,01ny.cn,cankaoxiaoxi.com,guizhou.gov.cn,xinmin.cn,chinagate.cn,sz.gov.cn,qingdaonews.com,cbg.cn,zgswcn.com,bozhou.cn,tuanjiewang.cn,bznews.org,sxxynews.com,dzwww.com,cjn.cn,k618.cn,93.gov.cn,hangzhou.com.cn,dayoo.com,voc.com.cn,rednet.cn,163.com,cqcb.com,enorth.com.cn,vtibet.cn,cnnb.com.cn,yunnan.cn,hljjcy.gov.cn,huyangnet.cn,ddcpc.cn,hezeribao.com,nmgjjjc.gov.cn,hntqb.com,cz001.com.cn,jcrb.com,hsw.cn,qzwb.com,jxnews.com.cn,tj.gov.cn,stats.gov.cn,southcn.com,csrc.gov.cn,chinalxnet.com,qinzhou.gov.cn,jyb.cn,online.sh.cn,zzradio.cn,ycen.com.cn,jksb.com.cn,gd.gov.cn,yicai.com,eastday.com,cutv.com,bzcm.net,nen.com.cn,www.gov.mo,chinatoday.com.cn,bhxww.com,locpg.gov.cn,cqn.com.cn,hunan.gov.cn,zznews.gov.cn,zj.gov.cn,ncrbw.cn,sczx.gov.cn,shandong.gov.cn,anhuinews.com,thehour.cn,cdrb.com.cn,mod.gov.cn,chengdu.cn,tom.com,changsha.gov.cn,bingtuannet.com,tjbh.com,gs-zy.com,lzbs.com.cn,zjknews.com,shaoxing.com.cn,xining.gov.cn,wehefei.com,qianlong.com,e23.cn,caacnews.com.cn,gxnews.com.cn,tynews.com.cn,gzstv.com,rmhb.com.cn,nsfc.gov.cn,shaanxi.gov.cn,66wz.com,gywb.cn,taihainet.com,zgm.cn,cznews.gov.cn,womenvoice.cn,lfxww.com,taizhou.gov.cn,sohu.com,tongren.gov.cn,bbrtv.com,chinamil.com.cn,sina.com.cn,csteelnews.com,xmnn.cn,xdkb.net,lyg.gov.cn,whb.cn,cqnews.net,cnmn.com.cn,isenlin.cn,nmgnews.com.cn,farmer.com.cn,sasac.gov.cn,hbtv.com.cn,qq.com,gwytb.gov.cn,fjsen.com,scol.com.cn,gscn.com.cn,chinawater.com.cn,sznews.com,jwb.com.cn,tsrb.com.cn,gxzf.gov.cn,am1116.com,jschina.com.cn,xhby.net,counsellor.gov.cn,gstv.com.cn,fznews.com.cn,sztv.com.cn,chinaqw.com,jinchangnews.cn,jiaodong.net,jsw.com.cn,nxtv.com.cn,hinews.cn,gansudaily.com.cn,ccwb.cn,12371.gov.cn,inewsweek.cn,ycwb.com,myrb.net,xnwbw.com,fmprc.gov.cn,moe.gov.cn,sxrb.com,cma.gov.cn,tjyun.com,xzxw.com,workercn.cn,dangjian.cn,sport.gov.cn,jfdaily.com.cn,803.com.cn,fjii.com,dahe.cn,jxcn.cn,taizhou.com.cn,hunantv.com,wzljl.cn,ceweekly.cn,jiaxingren.com,cztv.com,china.com,bjd.com.cn,hljnews.cn,syxwnet.com,sxdaily.com.cn,oeeee.com,chinafxj.cn,dezhoudaily.com,sdnews.com.cn,fengone.com,jmnews.cn,scopsr.gov.cn,gnrbs.cn,gzdaily.cn,hebnews.cn,ncnews.com.cn,gsw.gov.cn,ycstv.com,hainan.gov.cn,chinajsb.cn,ahwang.cn,haiwainet.cn,10yan.com,newssc.org,mohrss.gov.cn,hexun.com,njdaily.cn,bsyjrb.cn,qhdnews.com,hkwb.net,xinjiang.gov.cn,snxw.com,hebiw.com,dlxww.com,nmg.gov.cn,cfen.com.cn,ctaxnews.com.cn,sjzdaily.com.cn,hebei.gov.cn,dbw.cn,kankanews.com,changsha.cn,banyuetan.org,sxgov.cn,zjol.com.cn,hebei.com.cn,gqt.org.cn,wenming.cn,gzrbs.com.cn,pdsxww.com,zangdiyg.com,sc.gov.cn,xyxww.com.cn,henan.gov.cn,lnd.com.cn,71.cn,beijingreview.com.cn,sjtu.edu.cn,peoplerail.com,allchina.cn,ruc.edu.cn,fjtv.net,cpica.org.cn,jfdaily.com,thepaper.cn,bjnews.com.cn,qinfeng.gov.cn,tibet3.com,nmtv.cn,qlwb.com.cn,jstv.com,cnhan.com,hljtv.com,gxtv.cn,peoplechina.com.cn,qhradio.com,saibeinews.com,hrbtv.net,zgjtb.com,ahtv.cn
鲁炜魯煒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
陈希同陳希同,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
郭声琨郭聲琨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
贾庆林賈慶林,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
蔡奇,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
罗干羅乾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
温家宝溫傢寶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
李鹏李鵬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
李长春李長春,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
李卓人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
