Result,idx,Date,Source
四通 + 桥,1116,2023-01-02T16:01:59Z,https://www.rfa.org/mandarin/yataibaodao/renquanfazhi/al-12102022155435.html
彭立发,1122,2023-01-02T16:02:27Z,https://www.rfa.org/mandarin/yataibaodao/renquanfazhi/al-12102022155435.html
抗议 + 八九,1569,2023-01-02T16:03:22Z,https://www.rfa.org/mandarin/yataibaodao/renquanfazhi/al-12102022155435.html
秋雨圣约教会,2,2023-01-02T16:04:13Z,https://www.rfa.org/mandarin/Xinwen/2-12102022103300.html
逮捕 + 王怡,280,2023-01-02T16:05:07Z,https://www.rfa.org/mandarin/Xinwen/2-12102022103300.html
朝鲜 + 脱北,266,2023-01-02T16:06:02Z,https://www.rfa.org/mandarin/zhuanlan/teahouse/tea-12092022163030.html
境外势力,425,2023-01-02T16:06:41Z,https://www.rfa.org/mandarin/zhuanlan/teahouse/tea-12092022163030.html
中共二十大,70,2023-01-02T16:07:25Z,http://politics.people.com.cn/n1/2022/1211/c1001-32584811.html
闭幕会,299,2023-01-02T16:07:52Z,http://politics.people.com.cn/n1/2022/1211/c1001-32584811.html
新时代中国特色社会主义,401,2023-01-02T16:09:20Z,http://politics.people.com.cn/n1/2022/1211/c1001-32584811.html
治国理政,309,2023-01-02T16:10:02Z,http://politics.people.com.cn/n1/2022/1210/c1024-32584535.html
福建 + 习,318,2023-01-02T16:10:36Z,http://politics.people.com.cn/n1/2022/1210/c1001-32584688.html
卡 + 脖子 + 技术,1746,2023-01-02T16:11:49Z,http://politics.people.com.cn/n1/2022/1210/c1001-32584688.html
