Result,idx,Date,Source
白纸革命,59,2023-01-02T10:51:18Z,https://chinadigitaltimes.net/chinese/690767.html
内涵习近平,519,2023-01-02T10:51:58Z,http://politics.people.com.cn/n1/2022/1211/c1001-32584897.html
四通桥勇士,913,2023-01-02T10:52:34Z,https://botanwang.com/articles/202212/%E2%80%9C%E7%99%BD%E7%BA%B8%E8%BF%90%E5%8A%A8%E2%80%9D%E5%90%8E%E7%9A%84%E4%B8%96%E7%95%8C%E4%BA%BA%E6%9D%83%E6%97%A5%EF%BC%9A%E4%B8%AD%E5%9B%BD%E7%95%99%E5%AD%A6%E7%94%9F%E6%88%90%E6%8A%97%E8%AE%AE%E4%B8%BB%E4%BD%93.html
国贼 + 习近平,253,2023-01-02T10:53:22Z,https://botanwang.com/articles/202212/%E6%B1%9F%E8%A5%BF%E5%8D%97%E6%98%8C%E7%94%BB%E5%AE%B6%E8%90%A7%E4%BA%AE%E5%9B%A0%E5%9C%A8%E6%8E%A8%E7%89%B9%E5%8F%91%E5%B8%83%E5%9B%9B%E9%80%9A%E6%A1%A5%E6%8A%97%E8%AE%AE%E8%80%85%E5%BD%AD%E7%AB%8B%E5%8F%91%E7%94%BB%E5%83%8F%E8%A2%AB%E6%8D%95.html
习近平 + 不要核酸,255,2023-01-02T10:54:18Z,https://botanwang.com/articles/202212/%E6%B1%9F%E8%A5%BF%E5%8D%97%E6%98%8C%E7%94%BB%E5%AE%B6%E8%90%A7%E4%BA%AE%E5%9B%A0%E5%9C%A8%E6%8E%A8%E7%89%B9%E5%8F%91%E5%B8%83%E5%9B%9B%E9%80%9A%E6%A1%A5%E6%8A%97%E8%AE%AE%E8%80%85%E5%BD%AD%E7%AB%8B%E5%8F%91%E7%94%BB%E5%83%8F%E8%A2%AB%E6%8D%95.html
习近平 + 二十大 + 连任,0,2023-01-02T10:55:39Z,https://www.voachinese.com/a/how-will-xi-jinping-end-20221212/6872580.html
烂尾工程 + 习帝,358,2023-01-02T10:56:35Z,https://www.rfa.org/mandarin/pinglun/fushenqi/fsq-12122022094029.html
习帝 + 亲自指挥,364,2023-01-02T10:57:26Z,https://www.rfa.org/mandarin/pinglun/fushenqi/fsq-12122022094029.html
习帝 + 烂尾帝,385,2023-01-02T10:58:13Z,https://www.rfa.org/mandarin/pinglun/fushenqi/fsq-12122022094029.html
习帝 + 彭载舟,744,2023-01-02T11:00:19Z,https://www.rfa.org/mandarin/pinglun/fushenqi/fsq-12122022094029.html
江泽民 + 去世 + 习近平,6,2023-01-02T11:02:41Z,https://www.rfa.org/mandarin/pinglun/chenpokong/js-12122022095848.html
习近平 + 强求连任,386,2023-01-02T11:03:53Z,https://www.rfa.org/mandarin/pinglun/chenpokong/js-12122022095848.html
捧江贬邓 + 习近平,1187,2023-01-02T11:05:07Z,https://www.rfa.org/mandarin/pinglun/chenpokong/js-12122022095848.html
终身执政 + 习近平,1422,2023-01-02T11:06:21Z,https://www.rfa.org/mandarin/pinglun/chenpokong/js-12122022095848.html
习近平 + 捧江贬邓,1768,2023-01-02T11:07:32Z,https://www.rfa.org/mandarin/pinglun/chenpokong/js-12122022095848.html
近平 + 拍马屁,742,2023-01-02T11:19:24Z,https://botanwang.com/articles/202212/%E9%87%8D%E5%A1%91%E4%B8%96%E7%95%8C%E7%A7%A9%E5%BA%8F%EF%BC%8C%E4%B9%A0%E8%BF%91%E5%B9%B3%E8%BF%AB%E4%B8%8D%E5%8F%8A%E5%BE%85%E9%87%8D%E8%BF%94%E5%85%A8%E7%90%83%E8%88%9E%E5%8F%B0%E4%B8%AD%E5%BF%83.html
加速 + 近平,6190,2023-01-02T11:23:44Z,https://chinadigitaltimes.net/chinese/690900.html
罢免习近平,2465,2023-01-02T11:24:33Z,https://botanwang.com/articles/202212/%E5%A4%A7%E9%9B%AA%E5%B4%A9%E5%8D%B3%E5%B0%86%E5%8F%91%E7%94%9F.html
习近平 + 放弃清零,0,2023-01-02T11:27:09Z,https://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20221215-%E4%BA%BA%E6%B0%91%E6%97%A5%E6%8A%A5%E8%B5%9E%E4%B9%A0%E8%BF%91%E5%B9%B33%E5%B9%B4%E7%AE%A1%E7%90%86%E7%96%AB%E6%83%85%E6%88%90%E5%8A%9F-%E5%8F%AA%E5%AD%97%E4%B8%8D%E6%8F%90%E7%99%BD%E7%BA%B8%E8%BF%90%E5%8A%A8
