Result,idx,Date,Source
獨裁 + 習近,1775,2025-01-06T16:54:16Z,https://www.rfa.org/cantonese/news/htm/hkcourt/hong-kong-court-jimmy-lai-xi-jinping-dictator-01062025093440.html
近平 + 獨裁,12,2025-01-06T16:48:18Z,https://www.rfa.org/cantonese/news/htm/hkcourt/hong-kong-court-jimmy-lai-xi-jinping-dictator-01062025093440.html
續命習,1000,2025-01-02T20:30:52Z,https://www.rfa.org/cantonese/news/china-xi-jing-ping-new-year-speech-gang-of-four-01022025125204.html
习下台,2732,2024-12-29T16:47:16Z,https://botanwang.com/articles/202412/%E4%B9%A0%E5%A4%A7%E6%9D%83%E6%97%81%E8%90%BD%7C%E4%B8%AD%E5%9B%BD%E5%B7%A8%E5%8F%98%E5%B7%B2%E7%8E%B0%E7%AB%AF%E5%80%AA.html
陈云 + 华国锋,976,2024-12-27T16:31:36Z,https://botanwang.com/articles/202412/%E9%9B%86%E4%BD%93%E9%A2%86%E5%AF%BC%E5%8F%96%E4%BB%A3%E4%B8%80%E4%BA%BA%E7%8B%AC%E8%A3%81%EF%BC%9F%E5%9B%9E%E5%A4%B4%E8%B7%AF%E7%9A%84%E5%9B%9E%E5%A4%B4%E8%B7%AF%E8%B5%B0%E5%BE%97%E9%80%9A%EF%BC%9F.html
习皇,140,2024-12-25T07:37:25Z,https://botanwang.com/articles/202412/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%97%E8%BF%9E%E4%BC%8A%E6%9C%97%E4%B9%9F%E5%BC%80%E5%A7%8B%E5%90%91%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E7%A4%BE%E4%BC%9A%E9%9D%A0%E6%8B%A2%E4%BA%86%7C%E4%B8%AD%E5%85%B1%E7%9A%84%E8%80%81%E6%9C%8B%E5%8F%8B%E8%A6%81%E5%8F%98%E8%B4%A8%EF%BC%9F.html
bet9,201,2024-12-22T10:13:38Z,https://finance.mingpao.com/fin/instantf/20241222/1734852684308/%e8%94%9a%e4%be%86%e6%97%97%e8%89%a6%e8%bb%8a%e5%9e%8bet9%e8%a8%82%e5%96%ae%e8%b6%85%e9%a0%90%e6%9c%9f-%e9%a6%96%e6%89%b9999%e6%9e%b6%e9%99%90%e9%87%8f%e7%89%88%e5%b7%b2%e5%94%ae%e7%bd%84
5月 + 35日,9486,2024-12-21T21:24:35Z,https://chinadigitaltimes.net/chinese/714168.html
政治性抑郁,3438,2024-12-21T21:24:32Z,https://chinadigitaltimes.net/chinese/714168.html
清算共产党,1366,2024-12-21T17:49:16Z,https://botanwang.com/articles/202412/%E9%99%88%E6%9F%8F%E6%BA%90%E5%94%B1%E3%80%8A%E5%8F%8D%E6%94%BB%E5%A4%A7%E9%99%86%E3%80%8B%E9%82%80%E5%9B%BD%E6%B0%91%E5%85%9A%E5%8F%8D%E5%85%B1%7C%E9%99%86%E7%BD%91%E6%B0%91%E6%84%9F%E5%8A%A8.html
曦 + 近 + 平,690,2024-12-21T10:10:42Z,http://politics.people.com.cn/n1/2024/1221/c1001-40387024.html
習獨裁,8,2024-12-19T16:58:45Z,https://www.rfa.org/cantonese/news/htm/hkcourt/hong-kong-court-jimmy-lai-national-security-law-trial-updates-12192024090741.html
近平 + 包子,215,2024-12-16T16:02:50Z,https://botanwang.com/articles/202412/%E5%B7%9D%E6%99%AE%E9%82%80%E8%AF%B7%E4%B9%A0%E7%9A%84%E7%9C%9F%E6%AD%A3%E5%90%AB%E4%B9%89%E2%80%94%E2%80%94%E4%BD%A0%E8%A6%81%E5%90%AC%E8%AF%9D.html
近平 + 連任,1690,2024-12-12T22:03:56Z,https://www.rfa.org/cantonese/news/china-economy-slowdown-central-economic-work-conference-12122024134830.html
xijingp,1952,2024-12-12T18:13:13Z,https://rfa.org/mandarin/zhengzhi/waijiao/2024/12/12/trump-xij-ingping-us-china/
金平细,1802,2024-12-12T00:33:24Z,http://politics.people.com.cn/n1/2024/1212/c1001-40380247.html
喇嘛 + 诺贝尔,272,2024-12-11T18:28:22Z,https://rfa.org/mandarin/shehui/shaoshuminzu/2024/12/11/tibet-human-rights-violations-canada-sanctions-chinese-officials/
达赖 + 诺贝尔,270,2024-12-11T18:28:08Z,https://rfa.org/mandarin/shehui/shaoshuminzu/2024/12/11/tibet-human-rights-violations-canada-sanctions-chinese-officials/
独裁习,3457,2024-12-09T02:37:26Z,https://botanwang.com/articles/202412/%E3%80%96%E5%85%B2%E6%9C%9D%E6%B5%AE%E4%B8%96%E7%BB%98%E3%80%97%E5%8F%99%E5%88%A9%E4%BA%9A%E5%8F%98%E5%A4%A9%E9%98%BF%E8%90%A8%E5%BE%B7%E9%80%83%E4%BA%A1%7C%E8%BF%99%E6%98%AF%E4%B9%A0%E8%BF%91%E5%B9%B3%E7%9A%84%E6%9C%AA%E6%9D%A5%E6%A6%9C%E6%A0%B7.html
近平习,258,2024-12-08T17:06:52Z,https://botanwang.com/articles/202412/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF%E6%98%BE%E7%A4%BA%E4%B9%A0%E5%B7%B2%E4%B8%8D%E6%98%AF%E8%83%8C%E9%BB%91%E9%94%85%E7%9A%84%E9%97%AE%E9%A2%98%E4%BA%86.html
百家乐,1351,2024-12-03T17:32:14Z,https://botanwang.com/articles/202412/%E5%8A%A0%E6%8B%BF%E5%A4%A7%E8%8A%AC%E5%A4%AA%E5%B0%BC%E6%AF%92%E5%AE%B3%E6%B6%89%E4%B8%AD%E3%80%81%E6%B8%AF%E9%9B%86%E5%9B%A2%E3%80%80%E6%B8%A9%E5%93%A5%E5%8D%8E%E8%B5%8C%E5%9C%BA%E6%88%90%E4%B8%BA%E9%9B%86%E5%9B%A2%E6%B4%97%E9%92%B1%E4%B8%AD%E5%BF%83.html
