Result,idx,Date,Source
维尼 + 一尊,2690,2025-01-09T19:24:06Z,https://rfa.org/mandarin/guandian/pinglun/yujie/2025/01/09/yj-pla-against-xi/
杂总书记,564,2025-01-07T07:38:47Z,http://politics.people.com.cn/n1/2025/0107/c1001-40396967.html
獨裁 + 習近,265,2025-01-06T16:47:34Z,https://www.rfa.org/cantonese/news/htm/hkcourt/hong-kong-court-jimmy-lai-xi-jinping-dictator-01062025093440.html
下台 + 刘鹤,2112,2025-01-02T17:05:43Z,https://botanwang.com/articles/202501/%E4%B9%A0%E4%B8%8D%E8%AE%B8%E8%94%A1%E5%A5%87%E4%B8%8E%E5%B7%9D%E6%99%AE%E5%9B%A2%E9%98%9F%E6%8E%A5%E8%A7%A6%EF%BC%9F%E5%86%85%E5%B9%95%E8%A7%A3%E6%9E%90.html
习近平死,4399,2025-01-01T17:33:44Z,https://botanwang.com/articles/202501/2025%E5%B9%B4%E4%B8%AD%E5%9B%BD%E7%9A%8412%E5%A4%A7%E5%8D%B1%E6%9C%BA.html
習近平死,231,2024-12-31T22:01:22Z,https://www.rfa.org/cantonese/news/china-new-year-xi-jinping-speech-12312024125617.html
独裁 + 习近,1028,2024-12-29T17:17:40Z,https://botanwang.com/articles/202412/%E4%B9%A0%E5%A4%A7%E6%9D%83%E6%97%81%E8%90%BD%7C%E4%B8%AD%E5%9B%BD%E5%B7%A8%E5%8F%98%E5%B7%B2%E7%8E%B0%E7%AB%AF%E5%80%AA.html
思想 + 中共党魁,623,2024-12-28T16:16:32Z,https://botanwang.com/articles/202412/%E4%B8%AD%E5%85%B1%E6%94%BF%E6%B2%BB%E5%B1%80%E5%B9%B4%E7%BB%88%E4%BC%9A%E8%AE%AE%E5%A4%A7%E5%8F%98%E5%91%B3.html
下台 + 华国锋,1296,2024-12-27T08:59:12Z,https://botanwang.com/articles/202412/%E8%83%A1%E5%B9%B3%EF%BC%9A%E4%B9%A0%E8%BF%91%E5%B9%B3%E4%B8%BA%E4%BD%95%E6%80%95%E4%BA%BA%E6%8F%90%E7%BD%AA%E5%B7%B1%E8%AF%8F%EF%BC%9F.html
毛孙 + 习近,714,2024-12-25T17:53:50Z,https://botanwang.com/articles/202412/%E4%B8%AD%E5%85%B1%E7%9A%84%E5%8F%98%E4%B8%8E%E4%B8%8D%E5%8F%98%EF%BC%9A%E4%B8%AD%E5%9B%BD%E6%94%BF%E6%B2%BB%E7%A0%94%E7%A9%B6%EF%BC%8C%E9%9C%80%E8%A6%81%E5%85%B8%E8%8C%83%E8%BD%AC%E7%A7%BB%E5%90%97%EF%BC%9F.html
