Isolation,Sample
近平,习近平習近平
毛泽东,毛泽东毛澤東
江泽民,江泽民江澤民
明泽,习明泽習明澤
鄒幸彤,鄒幸彤邹幸彤
薄熙来,薄熙来薄熙來
邓小平,邓小平鄧小平
胡锦涛,胡锦涛鬍錦濤
周永康,周永康
文贵,郭文贵郭文貴
克强,李克强李剋強
曾庆红,曾庆红曾慶紅
赵紫阳,赵紫阳趙紫陽
王 + 岐 + 山,王岐山
习仲勋,习仲勋習仲勛
金正恩,金正恩
周恩来,周恩来周恩來
彭丽,彭丽媛彭麗媛
温家宝,温家宝溫傢寶
孙政才,孙政才孫政纔
胡耀邦,胡耀邦鬍耀邦
汪洋,汪洋
华国锋,华国锋華國鋒
十四 + 达赖,第十四世达赖喇嘛第十四世達賴喇嘛
彭德怀,彭德怀彭德懷
胡春华,胡春华鬍春華
朱镕基,朱镕基硃鎔基
薄瓜瓜,薄瓜瓜
林鄭月娥,林鄭月娥林郑月娥
王沪宁,王沪宁王滬寜
刘晓波,刘晓波劉曉波
李鹏,李鹏李鵬
索罗斯,乔治索罗斯喬治索羅斯
韩正,韩正韓正
習遠平,習遠平习远平
任志强,任志强任誌強
叶剑英,叶剑英葉劍英
栗战书,栗战书栗戰書
毛岸英,毛岸英
刘鹤,刘鹤劉鶴
赵乐,赵乐际趙樂際
蔡霞,蔡霞
江志成,江志成江誌成
金日成,金日成
胡海峰,胡海峰鬍海峰
丁薛祥,丁薛祥
黄明志,黄明志黃明誌
黃之鋒,黃之鋒黄之锋
柴玲,柴玲
齐桥桥,齐桥桥齊橋橋
孟建柱,孟建柱
张澜澜,张澜澜張瀾瀾
李源潮,李源潮
金正日,金正日
江绵恒,江绵恒江綿恒
张培莉,张培莉張培莉
坦克人,坦克人坦剋人
陈敏尔,陈敏尔陳敏爾
陈希,陈希陳希
陈破空,陈破空陳破空
吾爾開,吾爾開希多萊特吾尔开希多莱特
邓朴方,邓朴方鄧樸方
陈良宇,陈良宇陳良宇
华春莹,华春莹華春瑩
孙春兰,孙春兰孫春蘭
杨洁篪,杨洁篪楊潔篪
矢板明夫,矢板明夫矢闆明夫
梁振英,梁振英
賴昌星,賴昌星赖昌星
劉仲敬,劉仲敬刘仲敬
贾庆林,贾庆林賈慶林
邓家贵,邓家贵鄧傢貴
俞正声,俞正声俞正聲
金與正,金與正金与正
蔡奇,蔡奇
司徒華,司徒華司徒华
姚依林,姚依林
董建華,董建華董建华
张维迎,张维迎張維迎
张春桥,张春桥張春橋
曾蔭權,曾蔭權曾荫权
金正男,金正男
李卓人,李卓人
魏京生,魏京生
徐晓冬,徐晓冬徐曉鼕
刘永清,刘永清劉永清
李雪主,李雪主
张德江,张德江張德江
李志绥,李志绥李誌綏
刘云山,刘云山劉雲山
郭声琨,郭声琨郭聲琨
李瑞环,李瑞环李瑞環
黄坤明,黄坤明黃坤明
张高丽,张高丽張高麗
卢军宏,卢军宏盧軍宏
習正寧,習正寧习正宁
张成泽,张成泽張成澤
陈全国,陈全国陳全國
陈希,陈希同陳希同
赵克志,赵克志趙剋誌
閆麗夢,閆麗夢闫丽梦
吴邦国,吴邦国吳邦國
热比娅,热比娅卡德尔熱比婭卡德爾
程晓农,程晓农程曉農
魏凤和,魏凤和魏鳳和
鲍彤,鲍彤鮑彤
鲍彤,鲍彤鮑彤
周小平,周小平
李小琳,李小琳
李書福,李書福李书福
胡启立,胡启立鬍啓立
方励之,方励之方勵之
李鸿忠,李鸿忠李鴻忠
贺国强,贺国强賀國強
周强,周强周強
李长春,李长春李長春
刘延东,刘延东劉延東
杨晓渡,杨晓渡楊曉渡
鲁炜,鲁炜魯煒
吴官正,吴官正吳官正
许章润,许章润許章潤
班農,斯蒂芬班農斯蒂芬班农
傅政华,傅政华傅政華
戴晴,戴晴
李小勇,李小勇
茅于轼,茅于轼茅於軾
清海無上師,清海無上師清海无上师
盧勝彥,盧勝彥卢胜彦
程虹,程虹
罗干,罗干羅乾
孟宏伟,孟宏伟孟宏偉
杨晶,杨晶楊晶
王小洪,王小洪
何清涟,何清涟何清漣
崔世安,崔世安
色情,色情涂鸦色情塗鴉
何立峰,何立峰
何长工,何长工何長工
周永康,周永康
章含之,章含之
许家屯,许家屯許傢屯
高智晟,高智晟
袁红冰,袁红冰袁紅冰
张春贤,张春贤張春賢
丁仲礼,丁仲礼丁仲禮
丁仲礼,丁仲礼丁仲禮
叶简明,叶简明葉簡明
何厚鏵,何厚鏵何厚铧
许志永,许志永許誌永
丁子霖,丁子霖
刘奇葆,刘奇葆劉奇葆
刘士余,刘士余劉士餘
尉健行,尉健行
義雲高,義雲高义云高
陈吉宁,陈吉宁陳吉寜
林榮基,林榮基林荣基
陈至立,陈至立陳至立
王军涛,王军涛王軍濤
董事長樂團,董事長樂團董事长乐团
王炳章,王炳章
梁凌杰,梁凌杰梁淩傑
陈文清,陈文清陳文清
邓聿文,邓聿文鄧聿文
李岚清,李岚清李嵐清
刘宾雁,刘宾雁劉賓雁
陳敏兒,陳敏兒陈敏儿
彭蕾,彭蕾
沈跃跃,沈跃跃瀋躍躍
资中筠,资中筠資中筠
王力雄,王力雄
多里坤·艾沙,多里坤·艾沙多裏坤·艾沙
章立凡,章立凡
张千帆,张千帆張韆帆
申纪兰,申纪兰申紀蘭
卢展工,卢展工盧展工
李 + 明慧,李明慧
万鄂湘,万鄂湘萬鄂湘
曹建明,曹建明
严家其,严家其嚴傢其
伊力哈木 + 土赫提,伊力哈木土赫提
石濤,葉石濤叶石涛
廖天琪,廖天琪
玄松月,玄松月玄鬆月
章诒和,章诒和章詒和
林匡正,林匡正
慎海雄,慎海雄
谢伏瞻,谢伏瞻謝伏瞻
夏业良,夏业良夏業良
郭金龙,郭金龙郭金龍
李旺陽,李旺陽事件李旺阳事件
趙樂 + 賢,趙樂賢赵乐贤
任学锋,任学锋任學鋒
吴仁华,吴仁华吳仁華
王立銘,王立銘王立铭
赵乐,赵乐秦趙樂秦
帕巴拉格列朗杰,帕巴拉格列朗杰帕巴拉格列朗傑
李建国,李建国李建國
王傳福,王傳福王传福
王若望,王若望
杨奎松,杨奎松楊奎鬆
樊京輝,樊京輝樊京辉
余杰,余杰恩餘傑恩
包遵信,包遵信
楊憲宏,楊憲宏杨宪宏
梁稳根,梁稳根梁穩根
金觀濤,金觀濤金观涛
王东明,王东明王東明
伍修权,伍修权伍修權
赵洪祝,赵洪祝趙洪祝
李鵬,李鵬飛李鹏飞
万润南,万润南萬潤南
柳惠千,柳惠千柳惠韆
馬凱 + 碩,馬凱碩马凯硕
李慎之,李慎之
武维华,武维华武維華
张庆黎,张庆黎張慶黎
陳一新,陳一新陈一新
郭寶勝,郭寶勝郭宝胜
艾力汗·吐烈,艾力汗·吐烈
阮銘,阮銘阮铭
庹震,庹震
李英浩,李英浩
