Isolation,Sample
习,习近平習近平
毛泽东,毛泽东毛澤東
江泽,江泽民江澤民
习,习明泽習明澤
薄熙来,薄熙来薄熙來
邓小平,邓小平鄧小平
胡锦涛,胡锦涛鬍錦濤
林彪,林彪
周永康,周永康
文贵,郭文贵郭文貴
克强,李克强李剋強
曾庆,曾庆红曾慶紅
赵紫阳,赵紫阳趙紫陽
岐山,王岐山
习,习仲勋習仲勛
金正恩,金正恩
恩来,周恩来周恩來
彭丽,彭丽媛彭麗媛
江青,江青
温家宝,温家宝溫傢寶
孙政才,孙政才孫政纔
汪洋,汪洋
华国锋,华国锋華國鋒
彭德怀,彭德怀彭德懷
胡春,胡春华鬍春華
朱镕基,朱镕基硃鎔基
陈独秀,陈独秀陳獨秀
汪精卫,汪精卫汪精衛
刘晓,刘晓波劉曉波
令计划,令计划令計劃
李鹏,李鹏李鵬
韩正,韩正韓正
朱德,朱德硃德
习,習遠平习远平
任志强,任志强任誌強
叶剑英,叶剑英葉劍英
宋庆龄,宋庆龄宋慶齡
栗战书,栗战书栗戰書
夏韶声,夏韶聲夏韶声
徐向前,徐向前徐嚮前
陈云,陈云陳雲
刘鹤,刘鹤劉鶴
赵乐际,赵乐际趙樂際
蔡霞,蔡霞
毛新宇,毛新宇
薛祥,丁薛祥
柴玲,柴玲
李大釗,李大钊李大釗
齐桥桥,齐桥桥齊橋橋
建柱,孟建柱
张澜澜,张澜澜張瀾瀾
李源潮,李源潮
张国焘,张国焘張國燾
張作霖,张作霖張作霖
坦克人,坦克人坦剋人
高岗,高岗高崗
麗媛,鄭麗媛郑丽媛
曾庆,曾庆淮曾慶淮
贺龙,贺龙賀龍
陈敏尔,陈敏尔陳敏爾
陈希,陈希陳希
陈破空,陈破空陳破空
吾爾開希,吾爾開希多萊特吾尔开希多莱特
孙春兰,孙春兰孫春蘭
司马南,司马南司馬南
林立果,林立果
陈毅,陈毅陳毅
梁振英,梁振英
刘仲敬,劉仲敬刘仲敬
贾庆林,贾庆林賈慶林
王洪文,王洪文
宋祖英,宋祖英
劉伯承,刘伯承劉伯承
邓家贵,邓家贵鄧傢貴
俞正声,俞正声俞正聲
陳毅,陳毅燊陈毅燊
习,習雪习雪
何应钦,何應欽何应钦
蔡奇,蔡奇
司徒华,司徒華司徒华
姚依林,姚依林
张春桥,张春桥張春橋
吴小晖,吴小晖吳小暉
黃毓民,黃毓民黄毓民
侯德健,侯德健
聂荣臻,聂荣臻聶榮臻
黄菊,黄菊黃菊
汪东兴,汪东兴汪東興
李卓人,李卓人
许世友,许世友許世友
芮成钢,芮成钢芮成鋼
張靈甫,張靈甫张灵甫
魏京生,魏京生
德江,张德江張德江
姚文元,姚文元
刘云山,刘云山劉雲山
刘晓,刘晓庆劉曉慶
声琨,郭声琨郭聲琨
李瑞环,李瑞环李瑞環
张高丽,张高丽張高麗
乔石,乔石喬石
习,習正寧习正宁
陈全国,陈全国陳全國
陈希,陈希同陳希同
宋平,宋平
吴邦国,吴邦国吳邦國
杨虎城,杨虎城楊虎城
李书福,李書福李书福
董必武,董必武
马步芳,马步芳馬步芳
贺国强,贺国强賀國強
李长春,李长春李長春
刘延东,刘延东劉延東
罗荣桓,罗荣桓羅榮桓
耿飚,耿飚
袁家军,袁家军袁傢軍
陈希,陈希郡陳希郡
鲁炜,鲁炜魯煒
吴官正,吴官正吳官正
许章润,许章润許章潤
黄永胜,黄永胜黃永勝
车峰,车峰車峰
傅政华,傅政华傅政華
戴晴,戴晴
任弼时,任弼时任弼時
达明一派,達明一派达明一派
戴相龙,戴相龙戴相龍
程虹,程虹
罗干,罗干羅乾
苏荣,苏荣蘇榮
孟宏伟,孟宏伟孟宏偉
王兆国,王兆国王兆國
杨晶,杨晶楊晶
滕彪,滕彪
王小洪,王小洪
陈锡联,陈锡联陳锡聯
曾庆,曾慶瑜曾庆瑜
夏宝龙,夏宝龙夏寶龍
周永康,周永康
高智晟,高智晟
春贤,张春贤張春賢
丁子霖,丁子霖
劉奇葆,刘奇葆劉奇葆
黄敬,黃敬平黄敬平
尉健行,尉健行
梦雪,夢雪梦雪
王军涛,王军涛王軍濤
黄敬,黄敬黃敬
陈云,陳云根陈云根陳雲根
浦志强,浦志强浦誌強
春华,计春华計春華
进平,曹進平曹进平
李岚清,李岚清李嵐清
王小丫,王小丫
车俊,车俊車俊
马元,馬元中马元中
黄敬,黃敬群黄敬群
江青,江青
唐柏桥,唐柏桥唐柏橋
杨雄,楊雄杨雄
马凯,马凯馬凱
严家其,严家其嚴傢其
回良玉,回良玉迴良玉
程翔,程翔
郭金龙,郭金龙郭金龍
李旺阳,李旺陽事件李旺阳事件
陳雲,陳雲海陈云海
方政,方政
吴仁华,吴仁华吳仁華
杨雄,杨雄楊雄
恩来,趙恩來赵恩来
盛雪,盛雪
李建国,李建国李建國
陈一谘,陳一諮陈一谘
朱德,朱德剛朱德刚硃德剛
打倒,打倒男孩
杨宪宏,楊憲宏杨宪宏
金观涛,金觀濤金观涛
江泽,江泽慧江澤慧
丽娟,赵丽娟趙麗娟
胡春,胡春楊胡春杨鬍春楊
赵洪祝,赵洪祝趙洪祝
李鵬,李鵬飛李鹏飞
馬凱,馬凱马凯
万润南,万润南萬潤南
馬凱,馬凱碩马凯硕
郭泉,郭泉
李洪宽,李洪宽李洪寬
谢觉哉,谢觉哉謝覺哉
陳雲,陈云林陳雲林
徐特立,徐特立
