Isolation,Sample
近平,习近平習近平
江泽民,江泽民江澤民
习 + 明泽,习明泽習明澤
鄒幸彤,鄒幸彤邹幸彤
薄熙来,薄熙来薄熙來
陳柏惟,陳柏惟陈柏惟
胡锦涛,胡锦涛鬍錦濤
周永康,周永康
郭文贵,郭文贵郭文貴
李登輝,李登輝李登辉
李克强,李克强李剋強
曾庆红,曾庆红曾慶紅
赵紫阳,赵紫阳趙紫陽
王岐山,王岐山
习仲勋,习仲勋習仲勛
彭丽媛,彭丽媛彭麗媛
温家宝,温家宝溫傢寶
孙政才,孙政才孫政纔
何韻詩,何韻詩何韵诗
陳水扁,陳水扁陈水扁
陳芳語,陳芳語陈芳语
耀邦,胡耀邦鬍耀邦
汪洋,汪洋
达赖,第十四世达赖喇嘛第十四世達賴喇嘛
胡春华,胡春华鬍春華
朱镕基,朱镕基硃鎔基
薄瓜瓜,薄瓜瓜
林鄭月娥,林鄭月娥林郑月娥
王沪宁,王沪宁王滬寜
刘晓波,刘晓波劉曉波
韩 + 正,韩正韓正
習遠平,習遠平习远平
任志强,任志强任誌強
杜汶澤,杜汶澤杜汶泽
战书栗,栗战书栗戰書
李洪志,李洪志李洪誌
刘鹤,刘鹤劉鶴
赵乐际,赵乐际趙樂際
江志成,江志成江誌成
蕭若元,蕭若元萧若元
胡海峰,胡海峰鬍海峰
黄明志,黄明志黃明誌
黃之鋒,黃之鋒黄之锋
柴玲,柴玲
王逸戰,王逸戰王逸战
齐桥桥,齐桥桥齊橋橋
孟建柱,孟建柱
余英時,余英時余英时餘英時
余英時,余英時余英时餘英時
张澜澜,张澜澜張瀾瀾
李源潮,李源潮
杨尚昆,杨尚昆楊尚昆
苗博雅,苗博雅
陈秋实,陈秋实陳鞦實
江绵恒,江绵恒江綿恒
艾未未,艾未未
张培莉,张培莉張培莉
坦克人,坦克人坦剋人
曾庆淮,曾庆淮曾慶淮
陈敏尔,陈敏尔陳敏爾
黎智英,黎智英
陈破空,陈破空陳破空
爾開希,吾爾開希多萊特吾尔开希多莱特
朴方鄧,邓朴方鄧樸方
孙春兰,孙春兰孫春蘭
杨洁篪,杨洁篪楊潔篪
陳建仁,陳建仁陈建仁
矢板明夫,矢板明夫矢闆明夫
梁振英,梁振英
谷開來,谷開來谷开来榖開來
贾庆林,贾庆林賈慶林
邓家贵,邓家贵鄧傢貴
俞正声,俞正声俞正聲
蔡奇,蔡奇
李家超,李家超李傢超
司徒華,司徒華司徒华
姚依林,姚依林
董建華,董建華董建华
鄭松泰,鄭松泰郑松泰鄭鬆泰
吴小晖,吴小晖吳小暉
辛灏年,辛灏年辛灝年
侯德健,侯德健
吳釗燮,吳釗燮吴钊燮
李卓人,李卓人
郑栅洁,郑栅洁鄭柵潔
何俊仁,何俊仁
魏京生,魏京生
黃耀明,黃耀明黄耀明
黃耀明,黃耀明黄耀明
徐晓冬,徐晓冬徐曉鼕
刘永清,刘永清劉永清
陳方安生,陳方安生陈方安生
高耀洁,高耀洁高耀潔
林飛帆,林飛帆林飞帆
张德江,张德江張德江
張允曦,張允曦张允曦
鄺俊宇,鄺俊宇邝俊宇
俞强声,俞强声俞強聲
余茂春,余茂春餘茂春
刘云山,刘云山劉雲山
李干杰,李干杰李乾傑
郭声琨,郭声琨郭聲琨
李瑞环,李瑞环李瑞環
黄坤明,黄坤明黃坤明
张高丽,张高丽張高麗
卢军宏,卢军宏盧軍宏
習正寧,習正寧习正宁
陈全国,陈全国陳全國
陈希同,陈希同陳希同
赵克志,赵克志趙剋誌
閆麗夢,閆麗夢闫丽梦
谷俊山,谷俊山榖俊山
热比娅,热比娅卡德尔熱比婭卡德爾
李柱銘,李柱銘李柱铭
魏凤和,魏凤和魏鳳和
李锦斌,李锦斌李錦斌
梁國雄,梁國雄梁国雄
鲍彤,鲍彤鮑彤
鲍彤,鲍彤鮑彤
袁弓夷,袁弓夷
王冶坪,王冶坪
曹長青,曹長青曹长青
岑敖暉,岑敖暉岑敖晖
叶选宁,叶选宁葉選寜
胡启立,胡启立鬍啓立
方励之,方励之方勵之
谷丽萍,谷丽萍榖麗萍
李鸿忠,李鸿忠李鴻忠
国强賀,贺国强賀國強
李明哲,李明哲事件
长春李,李长春李長春
刘延东,刘延东劉延東
太極樂隊,太極樂隊太极乐队
袁家军,袁家军袁傢軍
杨晓渡,杨晓渡楊曉渡
朱云来,朱云来硃雲來
陈光诚,陈光诚陳光誠
叶选廉,叶选廉葉選廉
楼阳生,楼阳生樓陽生
许章润,许章润許章潤
马兴瑞,马兴瑞馬興瑞
陳志全,陳志全陈志全陳誌全
斯蒂芬班農,斯蒂芬班農斯蒂芬班农
江世俊,江世俊
戴晴,戴晴
達明一派,達明一派达明一派
茅于轼,茅于轼茅於軾
沈志华,沈志华瀋誌華
王莉霞,王莉霞
宋任穷,宋任穷宋任窮
劉夢熊,劉夢熊刘梦熊
骆惠宁,骆惠宁駱惠寜
毛孟靜,毛孟靜毛孟静
娄勤俭,娄勤俭婁勤儉
戴耀廷,戴耀廷
布小林,布小林
周冠威,周冠威
兆国王,王兆国王兆國
滕彪,滕彪
贾晓晔,贾晓晔賈曉曄
王小洪,王小洪
游蕙禎,游蕙禎游蕙祯遊蕙禎
小澤圓小 + 圓小泽圆,小澤圓小泽圆
夏宝龙,夏宝龙夏寶龍
许秀中,许秀中許秀中
何立峰,何立峰
周永康,周永康
蔡耀昌,蔡耀昌
许家屯,许家屯許傢屯
高智晟,高智晟
袁红冰,袁红冰袁紅冰
张春贤,张春贤張春賢
丁仲礼,丁仲礼丁仲禮
丁仲礼,丁仲礼丁仲禮
周梓樂,周梓樂墮樓事件周梓乐堕楼事件
林卓廷,林卓廷
怀进鹏,怀进鹏懷進鵬
何厚鏵,何厚鏵何厚铧
许志永,许志永許誌永
丁子霖,丁子霖
刘奇葆,刘奇葆劉奇葆
刘国中,刘国中劉國中
單仲偕,單仲偕单仲偕
岑子杰,岑子杰岑子傑
刘士余,刘士余劉士餘
梁頌恆,梁頌恆梁颂恆
孔庆东,孔庆东孔慶東
杜宪,杜宪杜憲
陈吉宁,陈吉宁陳吉寜
林榮基,林榮基林荣基
蒋超良,蒋超良蔣超良
軟硬天師,軟硬天師软硬天师
王军涛,王军涛王軍濤
彭清华,彭清华彭清華
陳云根,陳云根陈云根陳雲根
浦志强,浦志强浦誌強
尼剋強,尼克強納斯尼克强纳斯尼剋強納斯
陳淑莊,陳淑莊陈淑庄
黃光裕,黃光裕黄光裕
譚耀宗,譚耀宗谭耀宗
王忠林,王忠林
乐泉王,王乐泉王樂泉
吳靄儀,吳靄儀吴霭仪
王炳章,王炳章
唐良智,唐良智
