Isolation,Sample
习近,习近平習近平
毛泽东,毛泽东毛澤東
江泽民,江泽民江澤民
明泽,习明泽習明澤
鄒幸彤,鄒幸彤邹幸彤
蔣中正,蔣中正蒋中正
薄熙,薄熙来薄熙來
邓小平,邓小平鄧小平
孫中山,孫中山孙中山
胡锦涛,胡锦涛鬍錦濤
林彪,林彪
周永康,周永康
文贵,郭文贵郭文貴
李克强,李克强李剋強
曾庆红,曾庆红曾慶紅
赵紫阳,赵紫阳趙紫陽
王岐山,王岐山
仲勋,习仲勋習仲勛
金正恩,金正恩
周恩来,周恩来周恩來
彭丽,彭丽媛彭麗媛
温家宝,温家宝溫傢寶
孙政才,孙政才孫政纔
孙力军,孙力军孫力軍
耀邦,胡耀邦鬍耀邦
华国锋,华国锋華國鋒
十四世 + 达赖,第十四世达赖喇嘛第十四
彭德怀,彭德怀彭德懷
胡春华,胡春华鬍春華
朱镕基,朱镕基硃鎔基
林鄭月娥,林鄭月娥林郑月娥
王沪宁,王沪宁王滬寜
刘晓波,刘晓波劉曉波
令计划,令计划令計劃
李鹏,李鹏李鵬
索罗斯,乔治索罗斯喬治索羅
韩正,韩正韓正
習遠平,習遠平习远平
任志强,任志强任誌強
栗战书,栗战书栗戰書
李洪志,李洪志李洪誌
毛岸英,毛岸英
薄一波,薄一波
赵乐际,赵乐际趙樂際
赖小民,赖小民賴小民
蔡霞,蔡霞
邓稼先,邓稼先鄧稼先
金日成,金日成
王立军,王立军王立軍
胡海峰,胡海峰鬍海峰
丁薛祥,丁薛祥
黄明志,黄明志黃明誌
黃之鋒,黃之鋒黄之锋
李大钊,李大钊李大釗
齐桥桥,齐桥桥齊橋橋
孟建柱,孟建柱
余英時,余英時余英时餘英時
余英時,余英時余英时餘英時
张澜澜,张澜澜張瀾瀾
李源潮,李源潮
杨尚昆,杨尚昆楊尚昆
金正日,金正日
陈秋实,陈秋实陳鞦實
艾未未,艾未未
坦克人,坦克人坦剋人
毛远新,毛远新毛遠新
戈尔巴乔夫,米哈伊尔戈尔巴乔夫米
麗媛,鄭麗媛郑丽媛
陈敏尔,陈敏尔陳敏爾
黎智英,黎智英
陈破空,陈破空陳破空
吾爾 + 開希,吾爾開希多萊特吾尔开
邓朴方,邓朴方鄧樸方
陈良宇,陈良宇陳良宇
孙春兰,孙春兰孫春蘭
杨洁篪,杨洁篪楊潔篪
唐治平,唐治平
賴昌星,賴昌星赖昌星
劉仲敬,劉仲敬刘仲敬
贾庆林,贾庆林賈慶林
宋祖英,宋祖英
明居正,明居正
杨开慧,杨开慧楊開慧
邓家贵,邓家贵鄧傢貴
俞正声,俞正声俞正聲
金與正,金與正金与正
蔡奇,蔡奇
李林,優客李林优客李林
XXX,XXXTentacion
XXX,XXXTentacion
司徒華,司徒華司徒华
姚依林,姚依林
张维迎,张维迎張維迎
吴小晖,吴小晖吳小暉
羅冠聰,羅冠聰罗冠聪
金正男,金正男
冯玉祥,冯玉祥馮玉祥
宋教仁,宋教仁
李卓人,李卓人
张自忠,张自忠張自忠
張靈甫,張靈甫张灵甫
魏京生,魏京生
徐晓冬,徐晓冬徐曉鼕
新木優子,新木優子新木优子
李雪主,李雪主
张德江,张德江張德江
刘云山,刘云山劉雲山
杨利伟,杨利伟楊利偉
声琨,郭声琨郭聲琨
李瑞环,李瑞环李瑞環
黄坤明,黄坤明黃坤明
张高丽,张高丽張高麗
卢军宏,卢军宏盧軍宏
習正寧,習正寧习正宁
张成泽,张成泽張成澤
陈全国,陈全国陳全國
陈希同,陈希同陳希同
赵克志,赵克志趙剋誌
閆麗夢,閆麗夢闫丽梦
李小鹏,李小鹏李小鵬
石原莉奈,石原莉奈
谷俊山,谷俊山榖俊山
吴邦国,吴邦国吳邦國
热比娅,热比娅卡德尔熱比婭
苗可秀,苗可秀
杨虎城,杨虎城楊虎城
陈延年,陈延年陳延年
魏凤和,魏凤和魏鳳和
白求恩,白求恩
鲍彤,鲍彤鮑彤
鲍彤,鲍彤鮑彤
袁弓夷,袁弓夷
曹長青,曹長青曹长青
李小琳,李小琳
李書福,李書福李书福
胡启立,胡启立鬍啓立
应勇,应勇應勇
方励之,方励之方勵之
李鸿忠,李鸿忠李鴻忠
赵一曼,赵一曼趙一曼
贺国强,贺国强賀國強
葉欣,葉欣眉叶欣眉
李长春,李长春李長春
容国团,容国团容國團
刘延东,刘延东劉延東
黄奇帆,黄奇帆黃奇帆
杨晓渡,杨晓渡楊曉渡
梁宏达,梁宏达梁宏達
陈光诚,陈光诚陳光誠
鲁炜,鲁炜魯煒
彭加木,彭加木
吴官正,吴官正吳官正
许章润,许章润許章潤
班農,斯蒂芬班農斯蒂芬班
傅政华,傅政华傅政華
李铁映,李铁映李鐵映
陈嘉庚,陈嘉庚陳嘉庚
戴晴,戴晴
倪柝声,倪柝声倪柝聲
茅于轼,茅于轼茅於軾
陳其美,陳其美陈其美
张志新,张志新張誌新
清海無上師,清海無上師清海无上师
骆惠宁,骆惠宁駱惠寜
黃越綏,黃越綏黄越绥
盧勝彥,盧勝彥卢胜彦
戴耀廷,戴耀廷
罗干,罗干羅乾
周冠威,周冠威
孟宏伟,孟宏伟孟宏偉
王小洪,王小洪
何 + 清涟,何清涟何清漣
埃德加斯诺,埃德加斯诺埃德加斯
秦基伟,秦基伟秦基偉
聂耳,聂耳聶耳
何长工,何长工何長工
周永康,周永康
蔡耀昌,蔡耀昌
谭震林,谭震林譚震林
赵一德,赵一德趙一德
许家屯,许家屯許傢屯
高智晟,高智晟
袁红冰,袁红冰袁紅冰
张春贤,张春贤張春賢
孔东梅,孔东梅孔東梅
叶简明,叶简明葉簡明
何厚鏵,何厚鏵何厚铧
许志永,许志永許誌永
丁子霖,丁子霖
刘奇葆,刘奇葆劉奇葆
李井泉,李井泉
幸運草,桃色幸運草Z桃色幸运草
李常受,李常受
梁頌恆,梁頌恆梁颂恆
尉健行,尉健行
義雲高,義雲高义云高
孔庆东,孔庆东孔慶東
杜宪,杜宪杜憲
钱其琛,钱其琛錢其琛
陈吉宁,陈吉宁陳吉寜
林榮基,林榮基林荣基
陈至立,陈至立陳至立
鄧力群,鄧力群邓力群
唐崇榮,唐崇榮唐崇荣
王军涛,王军涛王軍濤
黑人 + 抬棺,黑人抬棺专业团队黑人抬
王炳章,王炳章
唐良智,唐良智
远志明,远志明遠誌明
邓聿文,邓聿文鄧聿文
曹刚川,曹刚川曹剛川
李岚清,李岚清李嵐清
王小丫,王小丫
冼星海,冼星海
刘宾雁,刘宾雁劉賓雁
田纪云,田纪云田紀雲
丁关根,丁关根丁關根
陈景润,陈景润陳景潤
焦裕禄,焦裕禄焦裕祿
彭蕾,彭蕾
沈跃跃,沈跃跃瀋躍躍
阿德里安曾兹,阿德里安曾兹阿德裏安
资中筠,资中筠資中筠
王力雄,王力雄
多里坤艾沙,多里坤艾沙多裏坤艾
章立凡,章立凡
张千帆,张千帆張韆帆
申纪兰,申纪兰申紀蘭
谌贻琴,谌贻琴諶貽琴
赵世炎,赵世炎趙世炎
邓中夏,邓中夏鄧中夏
马凯,马凯馬凱
万鄂湘,万鄂湘萬鄂湘
严家其,严家其嚴傢其
常玮平,常玮平常瑋平
夏业良,夏业良夏業良
郑永年,郑永年鄭永年
郭金龙,郭金龙郭金龍
李旺陽,李旺陽事件李旺阳事件
樊锦诗,樊锦诗樊錦詩
关向应,关向应關嚮應
陳文彬,陳文彬陈文彬
何叔衡,何叔衡
江竹筠,江竹筠
吉鸿昌,吉鸿昌吉鴻昌
上官雲珠,上官雲珠上官云珠
张立昌,张立昌張立昌
帕巴拉 + 格列朗杰,帕巴拉格列朗杰帕巴拉
吴化文,吴化文吳化文
王全璋,王全璋
王若望,王若望
马海德,马海德馬海德
余杰,余杰恩餘傑恩
买买提明买买提,买买提明买买提買買提
林巧稚,林巧稚
张朝阳,张朝阳張朝陽
邹家华,邹家华鄒傢華
雷政富,雷政富
左小祖咒,左小祖咒
包遵信,包遵信
金觀濤,金觀濤金观涛
赵尚志,赵尚志趙尚誌
智薑,姜瑞智薑瑞智
陳飛龍,陳飛龍陈飞龙
艾山买合苏木,艾山买合苏木艾山買
伍修权,伍修权伍修權
蕭平實,蕭平實萧平实
李鵬,李鵬飛李鹏飞
劉剛,劉剛刘刚
馬凱,馬凱马凯
廖国勋,廖国勋廖國勛
万润南,万润南萬潤南
馬凱,馬凱碩马凯硕
李传良,李传良李傳良
梁啟智,梁啟智梁启智
孙立平,孙立平孫立平
烏斯滿 + 巴圖爾,烏斯滿巴圖爾乌斯满
司马义艾买提,司马义艾买提司馬義
梁伯琪,梁伯琪
郭寶勝,郭寶勝郭宝胜
胡鞍钢,胡鞍钢鬍鞍鋼
曾培炎,曾培炎
郝平,郝平
庹震,庹震
李英浩,李英浩
王以哲,王以哲
