Isolation,Sample
习,习近平習近平
朱立倫,朱立倫朱立伦硃
吳亦凡,吳亦凡吴亦凡
毛泽东,毛泽东毛澤東
江泽民,江泽民江澤民
习,习明泽習明澤
蔡英文,蔡英文
薄熙来,薄熙来薄熙來
邓小平,邓小平鄧小平
孫中山,孫中山孙中山
胡锦涛,胡锦涛鬍錦濤
林彪,林彪
周永康,周永康
郭文,郭文贵郭文貴
克强,李克强李剋強
曾庆红,曾庆红曾慶紅
赵紫阳,赵紫阳趙紫陽
希特勒,阿道夫希特勒
岐山,王岐山
橋,橋本有菜桥本有
习,习仲勋習仲勛
金正恩,金正恩
周恩来,周恩来周恩來
丽媛,彭丽媛彭麗媛
江青,江青
温家,温家宝溫傢寶
孙政才,孙政才孫政纔
何韻詩,何韻詩何韵诗
刘少奇,刘少奇劉少奇
孙力军,孙力军孫力軍
王傑,王傑王杰
陳芳語,陳芳語陈芳语
耀邦,胡耀邦鬍耀邦
汪洋,汪洋
华国锋,华国锋華國鋒
波多野結衣,波多野結衣波多
达赖,第十四世达赖喇
彭德怀,彭德怀彭德懷
春华,胡春华鬍春華
朱镕基,朱镕基硃鎔基
陈独秀,陈独秀陳獨秀
翠,黃翠如黄翠如
王宇,王宇婕
王沪宁,王沪宁王滬寜
聖經,李聖經李圣经
刘 + 晓 + 波,刘晓波劉曉波
李鹏,李鹏李鵬
林夕,林夕
索罗斯,乔治索罗斯喬治
韩正,韩正韓正
钱学森,钱学森錢學森
朱德,朱德硃德
習,習遠平习远平
任志强,任志强任誌強
杜汶澤,杜汶澤杜汶泽
叶剑英,叶剑英葉劍英
宋庆龄,宋庆龄宋慶齡
栗战书,栗战书栗戰書
明日花綺羅,明日花綺羅明日
耶稣,耶稣耶穌
洪志,李洪志李洪誌
徐向前,徐向前徐嚮前
王丹,王丹
毛岸英,毛岸英
陈云,陈云陳雲
刘鹤,刘鹤劉鶴
橋,高橋聖子高桥圣
薄一波,薄一波
赵乐际,赵乐际趙樂際
格瓦拉,切格瓦拉
蔡霞,蔡霞
邓稼先,邓稼先鄧稼先
志成江,江志成江誌成
金日成,金日成
穆罕默德,穆罕默德
王毅,王毅
維尼,艾薇兒拉維尼艾
維尼,艾薇兒拉維尼艾
胡海峰,胡海峰鬍海峰
丁薛祥,丁薛祥
黄明,黄明志黃明誌
Abo,BugAboo
柴玲,柴玲
康生,康生
Brave,BraveGir
橋,橋本環奈桥本环
蒼井空,蒼井空苍井空
桥,齐桥桥齊橋橋
葉子,葉子楣叶子楣
孟建柱,孟建柱
曼德拉,纳尔逊曼德拉納
XI,EXID
张 + 澜澜,张澜澜張瀾瀾
李志,李志李誌
李源潮,李源潮
杨尚昆,杨尚昆楊尚昆
金正日,金正日
秋实,陈秋实陳鞦實
张国焘,张国焘張國燾
袁隆平,袁隆平
袁隆平,袁隆平
艾未未,艾未未
张 + 培 + 莉,张培莉張培莉
令谷,令谷令榖
坦克人,坦克人坦剋人
高岗,高岗高崗
麗媛,鄭麗媛郑丽媛
曾庆淮,曾庆淮曾慶淮
贺龙,贺龙賀龍
陈敏尔,陈敏尔陳敏爾
陈希,陈希陳希
橋,高橋一生高桥一
钟南山,钟南山鍾南山
吾爾開希,吾爾開希多萊特
李先念,李先念
陈良宇,陈良宇陳良宇
华春莹,华春莹華春瑩
孙春兰,孙春兰孫春蘭
橋,大橋未久大桥未
杨洁篪,杨洁篪楊潔篪
甘地,圣雄甘地聖雄甘
陳昇,陳昇陈昇
秦刚,秦刚秦剛
陈毅,陈毅陳毅
李强,李强李強
贾庆林,贾庆林賈慶林
王洪文,王洪文
祖英,宋祖英
杨开慧,杨开慧楊開慧
邓家贵,邓家贵鄧傢貴
林昶佐,林昶佐
林昶佐,林昶佐
俞正声,俞正声俞正聲
陳毅,陳毅燊陈毅燊
習,習雪习雪
穆罕默德,穆罕默德奥马尔
蔡奇,蔡奇
李林,優客李林优客李
王明,王明
司徒華,司徒華司徒华
桥,张春桥張春橋
成語,成語蕎成语荞
吴小晖,吴小晖吳小暉
金正男,金正男
辛灏年,辛灏年辛灝年
聂荣臻,聂荣臻聶榮臻
黄菊,黄菊黃菊
SM,SMAP
李卓人,李卓人
博古,博古
张自忠,张自忠張自忠
山奈,東山奈央东山奈
吳念真,吳念真吴念真
李希,李希
芮成钢,芮成钢芮成鋼
何俊仁,何俊仁
魏京生,魏京生
黃耀明,黃耀明黄耀明
黃耀明,黃耀明黄耀明
徐晓冬,徐晓冬徐曉鼕
刘永清,刘永清劉永清
彭真,彭真
李雪主,李雪主
德江,张德江張德江
安邦,潘安邦
姚文元,姚文元
李志,李志绥李誌綏
刘云山,刘云山劉雲山
翠,梅麗史翠普梅丽
zzy,Lizzy
杨利伟,杨利伟楊利偉
郭声琨,郭声琨郭聲琨
罗瑞卿,罗瑞卿羅瑞卿
李瑞环,李瑞环李瑞環
黄坤明,黄坤明黃坤明
张高丽,张高丽張高麗
卢军宏,卢军宏盧軍宏
乔石,乔石喬石
習,習正寧习正宁
陈全国,陈全国陳全國
王宇,王宇君
陈希,陈希同陳希同
閆麗夢,閆麗夢闫丽梦
宋平,宋平
石原莉奈,石原莉奈
张闻天,张闻天張聞天
吴邦国,吴邦国吳邦國
康生,李康生
羅樂,羅樂林罗乐林
热比娅,热比娅卡德尔熱
杨虎城,杨虎城楊虎城
李柱銘,李柱銘李柱铭
陈延年,陈延年陳延年
魏凤和,魏凤和魏鳳和
白求恩,白求恩
鲍彤,鲍彤鮑彤
鲍彤,鲍彤鮑彤
雷克,德雷克德雷剋
铊,朱令铊中毒事件
橋,楊岳橋杨岳桥楊
曹長青,曹長青曹长青
李小琳,李小琳
翠,派翠克威爾森派
滅火器樂團,滅火器樂團灭火
Xi,Xiumin
瞿秋白,瞿秋白瞿鞦白
櫻井莉亞,櫻井莉亞樱井莉
方励之,方励之方勵之
李鸿忠,李鸿忠李鴻忠
赵一曼,赵一曼趙一曼
贺国强,贺国强賀國強
周强,周强周強
翠,劉玉翠刘玉翠
葉欣,葉欣眉叶欣眉
李长春,李长春李長春
容国团,容国团容國團
刘延东,刘延东劉延東
李志,李志希李誌希
SM,SMROOKIE
翠,溫翠蘋温翠苹
黄奇帆,黄奇帆黃奇帆
杨晓渡,杨晓渡楊曉渡
梁宏达,梁宏达梁宏達
黄克诚,黄克诚黃剋誠
翠,林翠
陈光诚,陈光诚陳光誠
鲁炜,鲁炜魯煒
邓卓棣,邓卓棣鄧卓棣
陶铸,陶铸陶鑄
彭加木,彭加木
咪咪,朱咪咪硃咪咪
吴官正,吴官正吳官正
润,许章润許章潤
傅政华,傅政华傅政華
閃靈樂團,閃靈樂團闪灵乐
特拉斯,伊丽莎白特拉斯
陈嘉庚,陈嘉庚陳嘉庚
江世俊,江世俊
戴晴,戴晴
任弼时,任弼时任弼時
倪柝声,倪柝声倪柝聲
達明一派,達明一派达明一
穆罕默德,穆罕默德达乌德
翠,文翠珊
清海無上師,清海無上師清海
周小川,周小川
毛孟靜,毛孟靜毛孟静
郭文,郭文韜郭文韬
菸槍,老菸槍雙人組老
戴耀廷,戴耀廷
罗干,罗干羅乾
周冠威,周冠威
孟宏伟,孟宏伟孟宏偉
杨晶,杨晶楊晶
华罗庚,华罗庚華羅庚
滕彪,滕彪
何清涟,何清涟何清漣
穆罕默德,穆罕默德纳吉布
橋,伍富橋伍富桥
翠,芭芭拉史翠珊
彭湃,彭湃
聂耳,聂耳聶耳
周永康,周永康
蔡耀昌,蔡耀昌
谭震林,谭震林譚震林
咪咪,咪咪羅傑斯咪咪
翠,葉翠翠叶翠翠
翠,柯翠婷
高智晟,高智晟
张春贤,张春贤張春賢
橋,橋本龍太郎桥本
瓦尔特,弗兰克瓦尔特施
劉以達,劉以達刘以达
何厚鏵,何厚鏵何厚铧
王晨,王晨
自杀,苏享茂自杀事件
许志永,许志永許誌永
橋,高橋文哉高桥文
丁子霖,丁子霖
刘奇葆,刘奇葆劉奇葆
sM,KisMyFt2
甘地,英迪拉甘地
乱彈阿翔,乱彈阿翔乱弹阿
瓦尔特,瓦尔特本雅明瓦
胡海青,胡海青鬍海青
蔡和森,蔡和森
義雲高,義雲高义云高
穆罕默德,穆罕默德本拉希
陈吉宁,陈吉宁陳吉寜
林榮基,林榮基林荣基
洪志,朱洪志硃洪誌
阿拉,亚西尔阿拉法特
唐崇榮,唐崇榮唐崇荣
戚 + 本禹,戚本禹
翠,克莉絲汀娜韓翠
橋,高橋洋子高桥洋
王军涛,王军涛王軍濤
彭清华,彭清华彭清華
尤权,尤权尤權
陳云,陳云根陈云根陳
浦志强,浦志强浦誌強
克強,尼克強納斯尼克
sub,TsubakiF
李偉,李偉健李伟健
heRo,TheRose
橋,高橋南高桥南
橋,橋本愛桥本爱
向警予,向警予嚮警予
周立齐,周立齐周立齊
翠,楊翠杨翠
李岚清,李岚清李嵐清
溫家,溫家偉温家伟溫
冼星海,冼星海
邓子恢,邓子恢鄧子恢
梁耀忠,梁耀忠
刘宾雁,刘宾雁劉賓雁
阿弟仔,阿弟仔
翠,史蒂芬妮碧翠絲
橋,高橋瑪莉潤高桥
润,陈景润陳景潤
苟仲文,苟仲文
李雅,李雅卿
翠,蘇翠玉苏翠玉
李志,李志奇李誌奇
陆定一,陆定一陸定一
穆罕默德,穆罕默德哈桑阿
穆罕默德,穆罕默德法希姆
刘玥,刘玥霏劉玥霏
濁水溪公社,濁水溪公社浊水
艾沙,多里坤艾沙多裏
橋,高橋由美子高桥
江青,江青
申纪兰,申纪兰申紀蘭
赵世炎,赵世炎趙世炎
桥,唐柏桥唐柏橋
雷克,雷克罗克雷剋羅
勇氣,伯恩斯勇氣伯恩
明慧,李明慧
李富春,李富春
李志,李志剛李志刚李
邓中夏,邓中夏鄧中夏
楊雄,楊雄杨雄
马凯,马凯馬凱
穆罕默德,努尔穆罕默德塔
曹建明,曹建明
陳健民,陳健民陈健民
严家其,严家其嚴傢其
穆罕默德,穆罕默德安瓦爾
戴安澜,戴安澜戴安瀾
黄兴国,黄兴国黃興國
翠,鮑翠薇鲍翠薇
翠,鮑翠薇鲍翠薇
廖天琪,廖天琪
翠,翠西亞海爾弗翠
玄松月,玄松月玄鬆月
李四光,李四光
欣杨,楊玉欣杨玉欣
林匡正,林匡正
李偉,李偉菘李伟菘
慎海,慎海雄
ABO,KANABOON
程翔,程翔
黄婉,黄婉黃婉
橋,石橋靜河石桥静
郭金龙,郭金龙郭金龍
李 + 旺 + 陽,李旺陽事件李旺
樊锦诗,樊锦诗樊錦詩
关向应,关向应關嚮應
安息日,黑色安息日
王明,王明台王明颱
江端儀,江端儀江端仪
穆罕默德,穆罕默德雅各布
TA,TANGRAM
周小舟,周小舟
陳雲,陳雲海陈云海
吴建民,吴建民吳建民
吴仁华,吴仁华吳仁華
何叔衡,何叔衡
李偉,李偉華李伟华
杨雄,杨雄楊雄
連,連恩佩恩连恩佩
江竹筠,江竹筠
穆罕默德,穆罕默德侯赛因
吉鸿昌,吉鸿昌吉鴻昌
XI,EXILETRI
AV,VAV
熊焱,熊焱
舒琪,舒琪
李偉,李偉農李伟农
原幹惠,原幹惠原干惠
連,莎拉瑪拉庫爾連
朱德,朱德庸硃德庸
橋,橋本愛實桥本爱
橋,高橋朱里高桥朱
翠,麥翠嫻麦翠娴
橋,高橋凜高桥凛
連,連恩蓋勒格连恩
橋,橋本潤桥本润
李志,李志勳李志勋李
