Date Tested,Keyword,Translation,# of Components,Language
07/2016,退出中共,Quit CPC,1,simplified Chinese
07/2016,中革中央,Chinese (Proletariat) Revolution Central (Committee),1,simplified Chinese
07/2016,共产党下台,Down with CPC,1,simplified Chinese
07/2016,突破中共,Break Through CPC,1,simplified Chinese
07/2016,废除中共,Repeal CPC,1,simplified Chinese
07/2016,打倒中共,Down with CPC,1,simplified Chinese
07/2016,打倒共产党,Down with the Communist Party,1,simplified Chinese
07/2016,推翻中共,Overthrow CPC,1,simplified Chinese
07/2016,灭中共,Destory CPC,1,simplified Chinese
07/2016,胡温暴政,Hu (Jintao) Wen (Jiabao) Tyranny,1,simplified Chinese
07/2016,推翻中国共产党,Overthrow Chinese Communist Party,1,simplified Chinese
07/2016,活摘器官,Live Organ Harvesting ,1,simplified Chinese
07/2016,大法弟子,Dafa Deciple,1,simplified Chinese
07/2016,退党+大潮,Quit Party Wave,2,simplified Chinese
07/2016,揭露中共,Reveal CPC,1,simplified Chinese
07/2016,摆脱中共附体,Get Rid Of CPC Possession,1,simplified Chinese
07/2016,法lun功,Falun Gong,1,simplified Chinese
07/2016,法輪功,Falun Gong,1,traditional Chinese
07/2016,法輪大法,Falun Dafa,1,traditional Chinese
07/2016,退党+退团+退队,Quit (Communist) Party Quit (Youth) League Quit (Young Pioneers) Team,3,simplified Chinese
07/2016,九評共產黨,Nine Commentaries on the Communist Party,1,traditional Chinese
07/2016,退黨+大潮,Quit Party Wave,2,traditional Chinese
07/2016,邪党+九评,Evil Party Nine Commentaries,2,simplified Chinese
07/2016,9评共产党,Nine Commentaries on the Communist Party,1,simplified Chinese
07/2016,九评共产党,Nine Commentaries on the Communist Party,1,simplified Chinese
07/2016,法轮功,Falun Gong,1,simplified Chinese
07/2016,法轮大法,Falun Dafa,1,simplified Chinese
07/2016,零八宪章,Charter 08,1,simplified Chinese
07/2016,茉莉花革命,Jasmine Revolution,1,simplified Chinese
07/2016,08宪章,Charter 08,1,simplified Chinese
07/2016,大纪元,Epoch Times,1,simplified Chinese
07/2016,多维新闻,Duowei News,1,simplified Chinese
07/2016,大紀元,Epoch Times,1,traditional Chinese
07/2016,自由亚洲电台,Radio Free Asia,1,simplified Chinese
07/2016,习禁评,Used (to) Banning Comment,1,simplified Chinese
07/2016,习包子+习特勒,Steam Bun Xi Xi-tler,2,simplified Chinese
07/2016,周永康+自辩书,Zhou Yongkang Self-defense Letter,2,simplified Chinese
07/2016,我的最后陈述+薄熙来,My Last Statement Bo Xilai,2,simplified Chinese
07/2016,曾伟+曾庆红,Zeng Wei Zeng Qinghong,2,traditional Chinese
07/2016,江泽民+去世,Jiang Zemin Pass Away,2,simplified Chinese
07/2016,江泽民+死了,Jiang Zemin Died,2,simplified Chinese
07/2016,江主席+去世,President Jiang Pass Away,2,simplified Chinese
07/2016,江主席+死,Jiang Zemin Die,2,simplified Chinese
07/2016,江泽民其人,Jiang Zemin the Person,1,simplified Chinese
07/2016,江泽民病逝,Jiang Zemin Die Of Illness,1,simplified Chinese
07/2016,江蛤蟆,Jiang Toad,1,simplified Chinese
07/2016,習包子+習特勒,Xi Bun Xi-tler,2,traditional Chinese
07/2016,江澤民+死了,Jiang Zemin Died,2,traditional Chinese
07/2016,江澤民其人,Jiang Zemin the Person,1,traditional Chinese
07/2016,习近平阵营+江派,Xi Jinping Camp Jiang Clique,2,simplified Chinese
07/2016,十九大争夺战,19th Party Congress Power Fight,1,simplified Chinese
07/2016,彭麻麻+暗斗宋贵妃,Peng Mama Secretly Fight Song Imperial Concubine,2,simplified Chinese
07/2016,老江+气杀习大大,Old Jiang More Fierce Than Uncle Xi,2,simplified Chinese
07/2016,韩正+取代李克强,Han Zheng Took Over Li Keqiang,2,simplified Chinese
07/2016,周永康+薄熙来+政变,Zhou Yongkang Bo Xilai Coup,3,simplified Chinese
07/2016,江泽民+江家帮,Jiang Zemin Jiang Family Clique,2,simplified Chinese
07/2016,软禁+江泽民,House Arrest Jiang Zemin,2,simplified Chinese
07/2016,習近平陣營+江派,Xi Jinping Camp Jiang Clique,2,traditional Chinese
07/2016,彭麻麻+暗鬥宋貴妃,Peng Mama Secretly Fight Song Imperial Concubine,2,traditional Chinese
07/2016,老江+氣殺習大大,Old Jiang More Fierce Than Uncle Xi,2,traditional Chinese
07/2016,韓正+取代李克強,Han Zheng Took Over Li Keqiang,2,traditional Chinese
