Date Tested,Keyword,Language,English Translation,Theme,Category,Group Chat ,1-1 Chat,Media Source,Article Source ,Article Publish Time
2016-07-01,六四+刘晓波,simplified Chinese,June 4 + Liu Xiaobo,,,Blocked,Not blocked,,,
2016-12-21,维权人士+诺贝尔和平奖+刘晓波,simplified Chinese,Rights Activist + Nobel Peace Prize + Liu Xiaobo,,,Blocked,Blocked,,,
2017-02-23,习近平+诺贝尔和平奖+刘晓波,simplified Chinese,Xi Jinping + Nobel Peace Prize + Liu Xiaobo,,,Blocked,Blocked,,,
2017-03-31,梁小军+刘晓波+煽动颠覆,simplified Chinese,Liang Xiaojun + Liu Xiaobo + Incite Subversion,,,Blocked,Not blocked,,,
2017-06-30,"刘晓波病情+鲍彤被公安登门禁言",simplified Chinese,Liu Xiaobo illness + Bao Tong was visted by public security and banned from speaking,,,Blocked,Blocked,,http://www.rfa.org/mandarin/yataibaodao/renquanfazhi/ql2-06292017103033.html,2017-06-29T17:10:00
2017-07-04,当局+释放+刘晓波+软禁,simplified Chinese,Authorities + release + Liu Xiaobo + house arrest,,,Blocked,Not blocked,,http://www.rfa.org/mandarin/Xinwen/5-06262017131624.html,2017-06-26T13:16:35
2017-07-04,刘晓波+肝癌晚期+保外就医,simplified Chinese,Liu Xiaobo + advanced liver cancer + medical parole,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170626-刘晓波或肝癌晚期传正在办沈阳保外就医-官方匿声,2017-06-26T04:30:06
2017-07-05,鲍彤谴+责当局+延误刘晓波,simplified Chinese,Bao Tong condemned + authorities + delay Liu Xiaobo,,,Blocked,Blocked,,http://www.rfa.org/mandarin/yataibaodao/renquanfazhi/bt-06282017082157.html,2017-06-28T08:25:00
2017-07-05,刘晓波+出国就医+死也要死在西方,simplified Chinese,Liu Xiaobo + go abroad for medical treatment + rather die in the west,,,Blocked,Blocked,,http://www.rfa.org/mandarin/Xinwen/10-06272017163530.html,2017-06-27T16:35:38
2017-07-06,刘晓波+律师,simplified Chinese,Liu Xiaobo + lawyer,,,Blocked,Not blocked,,http://www.rfa.org/mandarin/Xinwen/9-06272017163443.html,2017-06-27T16:34:52
2017-07-06,刘晓波+习近平,simplified Chinese,Liu Xiaobo + Xi Jinping,,,Blocked,Blocked,,http://cn.rfi.fr/中国/20170628-刘晓波事件为习近平访港蒙上阴影,2017-06-28T04:11:40
