date_tested,keyword,translation
7/1/2016,十九大争夺战,19th Party Congress Power Fight
1/25/2017,周強下台+網絡的封殺+十九大晉身,Zhou Qiang To Step Down + Banned on the Internet + Promoted in 19th Party Congress
1/27/2017,高调曝光+习近平的正面+十九大前奏,High-profile exposure + Xi Jinping's Positive [Support] + Prelude to 19th Party Congress
1/27/2017,高調曝光+習近平的正面+十九大前奏,High-profile exposure + Xi Jinping's Positive [Support] + Prelude to 19th Party Congress
1/31/2017,封殺VPN+習近平完成集權+十九大,Block VPN + Xi Jinping Finishes Consolidating Power + 19th Party Congress
3/6/2017,十九大+习近平+迫切地打造个人舞台,19th Party Congress + Xi Jinping + Eagerly Build His Personal Show
3/27/2017,十九大+王岐山+总理 ,19th Party Congress + Wang Qishan + Premier
3/27/2017,团派+十九大+江派 ,[Communist Party Youth] League Clique + 19th Party Congress + Jiang Clique
3/27/2017,习家军+大权独揽+十九大,Xi's Army + Hold All Power + 19th Party Congress
3/28/2017,李克强+十九大+习家军,Li Keqiang + 19th Party Congress + Xi's Army 
3/28/2017,王岐山+總理+十九大,Wang Qishan + Premier + 19th Party Congress
5/24/2017,习近平+打破十年制任期+可能性不高,Xi Jinping + Broke ten-year term limit + Possibility is not high
5/25/2017,留任+中央政治局常委,Remain in Office + CCP Politburo Committee
5/25/2017,中共十九大+习近平+中国梦,CCP 19th Congress + Xi Jinping + China Dream
5/29/2017,十九大入常,Make it into CCP Poliburo Standing Committee at 19th Party Congress
5/29/2017,中共19大+巩固习近平+政治权威,CCP 19th Congress + Solidify Xi Jinping['s power] + Political Authority
6/7/2017,十九大布局,19th Party Congress Layout
6/9/2017,十九大人事,19th Party Congress personnel
6/21/2017,19大人事,19 big personnel
6/27/2017,北戴河会议,Beidaihe meeting
7/11/2017,王岐山+得力助手+习近平的新总理,Wang Qishan + effective assistant + Xi Jinping new prime minister
7/13/2017,黑马+十九大,Dark horse nineteen
7/18/2017,林彪的妻子+崩溃的凶兆+敦促共产党提拔,Lin Biao's wife + the collapse of the omen + urged the Communist Party to promote
7/18/2017,进入政治局+十九大+胡春华,Into the Politburo + nineteen + Hu Chunhua
7/18/2017,张德江+刘云山外+都有出席+独缺孙政才,Zhang Dejiang + Liu Yunshan + have attended + alone absent Sun Zhengcai
7/18/2017,第六代领导人,Sixth generation leader
7/18/2017,陈敏尔+中共+政治新星+另有任用,Chen Miner + CPC + political star + another appointment
7/18/2017,之江新军,New Zhijiang Army
7/18/2017,习近平+送进秦城,Xi Jinping + sent into qincheng prison
7/18/2017,习近平的亲信+陈敏尔,Xi Jinping's cronies + Chen Miner
7/18/2017,习近平+十九大+巩固权力,Xi Jinping + nineteenth + power to consolidate
7/19/2017,團派+十九大+江派,Tuan Pai + 19th Party Congress + Jiang Clique
7/19/2017,王岐山+得力助手+習近平的新總理,Wang Qishan + effective assistant + Xi Jinping new prime minister
7/19/2017,中共十九大+習近平+中國夢,CCP 19th Congress + Xi Jinping + China Dream
7/21/2017,十九大权力,19th Party Congress Power
7/21/2017,黑馬+十九大,Dark horse nineteen
7/21/2017,陳敏爾+中共+政治新星+另有任用,Chen Miner + CPC + political star + another appointment
7/21/2017,之江新軍,The river new army
7/21/2017,習近平+十九大+鞏固權力,Xi Jinping + nineteenth + power to consolidate
7/24/2017,孙政才+中共+明日之星+政治牺牲品,Sun Zhengcai + CCP + Rising Star + Sacrifice of Politics
7/24/2017,大内总管栗战书+被爆料+权斗恶化,right-hand man Li Zhanshu + exposed + power struggle intensified
7/24/2017,政治局委员+十九大+蔡奇,Politburo member + 19th Party Congress + Caiqi
7/24/2017,习近平+残酷无情+政治游戏+牺牲品,Xi Jinping + cruel + political game + sacrifice
7/24/2017,破坏了习近平+等级顺序+换届规则,sabotaged Xi Jinping + ranking order + norms of term transition
7/25/2017,十九大+爆料,19th Party Congress + expose
7/25/2017,孙政才落马+邓小平制定的接班制度+全面崩溃,Sun Zhengcai downfall + term transition norms set by Deng Xiaoping + collapsed
7/25/2017,孙政才落马+习近平欲破+中共四大约法,Sun Zhengcai downfall + Xijinping wants to break + CPC's norm since the 4th Party Congress
