Date Tested,Keyword,Translation,Theme,Category,Keyword Type ,Language,Note,Reference,
07/2016,退出中共,Quit CPC,Political,Tuidang,phrase,simplified Chinese,"Reference to the Tuidang Movement, a Chinese dissident phenomenon that is critical of the CPC and urges members to quit the party",https://en.wikipedia.org/wiki/Tuidang_movement,
07/2016,中革中央,Chinese (Proletariat) Revolution Central (Committee),Political,CPC criticism,phrase,simplified Chinese,"Civil society group that advocate against the current regime, claiming it is a ""capitalist government""",http://zgzy.longluntan.tw/,
07/2016,共产党下台,Down with CPC,Political,CPC criticism,phrase,simplified Chinese,Keyword was also found on Chinese portal site NetEase internal censorship list that was leaked in 2008,https://chinadigitaltimes.net/space/%E5%85%B1%E4%BA%A7%E5%85%9A%E4%B8%8B%E5%8F%B0,
07/2016,突破中共,Break Through CPC,Political,CPC criticism,phrase,simplified Chinese,A phrase often used by those critical of the CPC,,
07/2016,废除中共,Repeal CPC,Political,CPC criticism,phrase,simplified Chinese,A phrase often used by those critical of the CPC,,
07/2016,打倒中共,Down with CPC,Political,CPC criticism,phrase,simplified Chinese,Keyword was also found on Chinese portal site NetEase internal censorship list that was leaked in 2008,https://chinadigitaltimes.net/space/%E6%89%93%E5%80%92%E4%B8%AD%E5%85%B1,
07/2016,打倒共产党,Down with the Communist Party,Political,CPC criticism,phrase,simplified Chinese,Keyword was also found on Chinese portal site NetEase internal censorship list that was leaked in 2008,https://chinadigitaltimes.net/space/%E6%89%93%E5%80%92%E5%85%B1%E4%BA%A7%E5%85%9A,
07/2016,推翻中共,Overthrow CPC,Political,CPC criticism,phrase,simplified Chinese,Keyword was also found on Chinese portal site NetEase internal censorship list that was leaked in 2008,https://chinadigitaltimes.net/space/%E6%8E%A8%E7%BF%BB%E4%B8%AD%E5%85%B1,
07/2016,灭中共,Destory CPC,Political,CPC criticism,phrase,simplified Chinese,A phrase often used by those critical of the CPC,,
07/2016,胡温暴政,Hu (Jintao) Wen (Jiabao) Tyranny,People,Gov official,phrase,simplified Chinese,Keyword was also found on Chinese portal site NetEase internal censorship list that was leaked in 2008,http://chinadigitaltimes.net/space/%E8%83%A1%E6%B8%A9%E6%9A%B4%E6%94%BF,
07/2016,推翻中国共产党,Overthrow Chinese Communist Party,Political,CPC criticism,phrase,simplified Chinese,Keyword was also found on Chinese portal site NetEase internal censorship list that was leaked in 2008,https://chinadigitaltimes.net/space/%E6%8E%A8%E7%BF%BB%E4%B8%AD%E5%9B%BD%E5%85%B1%E4%BA%A7%E5%85%9A,
07/2016,活摘器官,Live Organ Harvesting ,Political,Falun gong,phrase,simplified Chinese,Reference to the accusations of the CPC harvesting organs from Falun Gong practitioners and other political prisoners in China,,
07/2016,大法弟子,Dafa Deciple,Political,Falun gong,phrase,simplified Chinese,Reference to Falun Gong practitioners,,
07/2016,退党 大潮,Quit Party Wave,Political,Tuidang,combo,simplified Chinese,"Reference to the Tuidang Movement, which criticizes the CPC and urges members to quit the party.",https://en.wikipedia.org/wiki/Tuidang_movement,
07/2016,揭露中共,Reveal CPC,Political,Tuidang,phrase,simplified Chinese,A phrase or commonly used by Falun Gong groups to criticize the CCP and advocate the Tuidang Movement,http://www.ntdtv.com/xtr/gb/articlelistbytag_%E6%8F%AD%E9%9C%B2%E4%B8%AD%E5%85%B1.html,
07/2016,摆脱中共附体,Get Rid Of CPC Possession,Political,Tuidang,phrase,simplified Chinese,"A phrase written in the Nine Commentaries on the Communist Party by The Epoch Times, a Falun Gong-sponsored news media group",https://books.google.ca/books?id=3ON_BgAAQBAJ&pg=PA10&lpg=PA10&dq=%E6%91%86%E8%84%B1%E4%B8%AD%E5%85%B1%E9%99%84%E4%BD%93&source=bl&ots=qxe1V2-NJw&sig=O6ykXaqO9X4B5L85B4vrb-zqe_s&hl=en&sa=X&ved=0ahUKEwipq8HcotrOAhXLlB4KHYC5AIcQ6AEILTAC#v=onepage&q=%E6%91%86%E8%84%B1%E4%B8%AD%E5%85%B1%E9%99%84%E4%BD%93&f=false,
07/2016,法lun功,Falun Gong,Political,Falun gong,phrase,simplified Chinese,Mixture of Chinese characters and pinyin of Falun Gong,,
07/2016,法輪功,Falun Gong,Political,Falun gong,phrase,traditional Chinese,A Chinese spiritual practice that combines meditation and qigong exercises which has been suppressed by the Chinese government.,,
07/2016,法輪大法,Falun Dafa,Political,Falun gong,phrase,traditional Chinese,A Chinese spiritual practice that combines meditation and qigong exercises which has been suppressed by the Chinese government.,,
07/2016,退党 退团 退队,Quit (Communist) Party Quit (Youth) League Quit (Young Pioneers) Team,Political,Tuidang,combo,simplified Chinese,"Reference to the Tuidang Movement, a Chinese dissident phenomenon that is critical of the CPC and urges members to quit the party",,
07/2016,九評共產黨,Nine Commentaries on the Communist Party,Political,Tuidang,phrase,traditional Chinese,"Reference to a series of editorials criticizing the CCP, first published in 2004 by The Epoch Times, a Falun Gong-affiliated news group",,
07/2016,退黨 大潮,Quit Party Wave,Political,Tuidang,combo,traditional Chinese,"Reference to the Tuidang Movement, a Chinese dissident phenomenon that is critical of the CPC and urges members to quit the party",,
07/2016,邪党 九评,Evil Party Nine Commentaries,Political,Tuidang,combo,simplified Chinese,"Reference to a series of editorials criticizing the CCP, first published in 2004 by The Epoch Times, a Falun Gong-affiliated news group",,
07/2016,9评共产党,Nine Commentaries on the Communist Party,Political,Tuidang,phrase,simplified Chinese,"Reference to a series of editorials criticizing the CCP, first published in 2004 by The Epoch Times, a Falun Gong-affiliated news group",http://www.ninecommentaries.com/english/,
07/2016,九评共产党,Nine Commentaries on the Communist Party,Political,Tuidang,phrase,simplified Chinese,"Reference to a series of editorials criticizing the CCP, first published in 2004 by The Epoch Times, a Falun Gong-affiliated news group",http://www.ninecommentaries.com/english/,
07/2016,法轮功,Falun Gong,Political,Falun gong,phrase,simplified Chinese,A Chinese spiritual practice that combines meditation and qigong exercises which has been suppressed by the Chinese government.,,
07/2016,法轮大法,Falun Dafa,Political,Falun gong,phrase,simplified Chinese,Another name of Falun Gong,,
07/2016,零八宪章,Charter 08,Political,Charter 08,phrase,simplified Chinese,"Reference to the manifesto initially signed by over 350 Chinese intellectuals and human rights activists in 2008, demanding political reforms in China.",,
07/2016,茉莉花革命,Jasmine Revolution,Event,Jasmine Revolution,phrase,simplified Chinese,The name initially came from the Tunisian revolution in 2010 and was adopted by Chinese activists for their own pro-democracy protests in 2011.,https://en.wikipedia.org/wiki/2011_Chinese_pro-democracy_protests,
07/2016,08宪章,Charter 08,Political,Charter 08,phrase,simplified Chinese,"Reference to the manifesto initially signed by over 350 Chinese intellectuals and human rights activists in 2008, demanding political reforms in China.",,
07/2016,大纪元,Epoch Times,Political,Media ,phrase,simplified Chinese,Reference to the multi-language news media founded in 2000 by John Tang and a group of Chinese-American Falun Gong practitioners,,
07/2016,多维新闻,Duowei News,Political,Media ,phrase,simplified Chinese,Reference to a New York-based Chinese language news website that is blocked in China. It used to be a political dissident news media but has become milder on Chinese politics since it's bought by a Hong Kong businessman,,http://www.dwnews.com/
07/2016,大紀元,Epoch Times,Political,Media ,phrase,traditional Chinese,Reference to the multi-language news media founded in 2000 by John Tang and a group of Chinese-American Falun Gong practitioners,traditional Chinese,
07/2016,自由亚洲电台,Radio Free Asia,Political,Media ,phrase,simplified Chinese,Nonprofit international broadcasting agency of the US government that targets audiences in East Asia.,https://zh.wikipedia.org/wiki/%E8%87%AA%E7%94%B1%E4%BA%9A%E6%B4%B2%E7%94%B5%E5%8F%B0,
07/2016,习禁评,Used (to) Banning Comment,People,Gov official,phrase,simplified Chinese,"Homonym and nickname of Xi Jinping created by Chinese Internet users, meaning they are ""used to comments being banned""",http://ca.ntdtv.com/xtr/gb/2012/04/04/a682072.html.-%E3%80%9D%E4%B9%A0%E7%A6%81%E8%AF%84%E3%80%9E%E6%88%90%E6%95%8F%E6%84%9F%E8%AF%8D-%E3%80%9D%E8%96%84%E7%86%99%E6%9D%A5%E3%80%9E%E3%80%9D%E7%8E%8B%E7%AB%8B%E5%86%9B%E3%80%9E%E8%A7%A3%E7%A6%81.html,
